20260101 000000;0.2782;0.2896;0.2763;0.2893;369062.06
20260102 000000;0.2893;0.3036;0.2853;0.3027;507673.1
20260103 000000;0.3027;0.307;0.2928;0.3066;349587.71
20260104 000000;0.3066;0.3195;0.3031;0.3135;461168.73
20260105 000000;0.3135;0.331;0.3067;0.3286;503865.49
20260106 000000;0.3286;0.3453;0.3238;0.3393;496640.43
20260107 000000;0.3393;0.3408;0.3247;0.3288;286512.33
20260108 000000;0.3288;0.331;0.3145;0.3234;296466.17
20260109 000000;0.3234;0.3365;0.3188;0.3296;396145.83
20260110 000000;0.3296;0.3413;0.3281;0.331;305111.15
20260111 000000;0.331;0.3341;0.3196;0.3235;423946.2
20260112 000000;0.3235;0.3299;0.3137;0.3179;311159.03
20260113 000000;0.3179;0.3427;0.3167;0.3395;315567.55
20260114 000000;0.3395;0.3488;0.3376;0.342;386167.49
20260115 000000;0.342;0.3475;0.3336;0.3412;426832.93
20260116 000000;0.3412;0.3786;0.341;0.3752;957334.21
20260117 000000;0.3752;0.3828;0.3638;0.3643;501590.67
20260118 000000;0.3643;0.3804;0.3605;0.3642;289430.76
20260119 000000;0.3642;0.3643;0.341;0.3576;536865.73
20260120 000000;0.3576;0.3577;0.3375;0.3399;354816.7
20260121 000000;0.3399;0.3515;0.332;0.343;380376.69
20260122 000000;0.343;0.3486;0.3342;0.336;263932.14
20260123 000000;0.336;0.3384;0.3263;0.3304;252496.9
20260124 000000;0.3304;0.3333;0.323;0.3249;248121.5
20260125 000000;0.3249;0.3278;0.3029;0.3086;392307.57
20260126 000000;0.3086;0.3219;0.3083;0.3153;307824.35
20260127 000000;0.3153;0.3196;0.3073;0.3184;287794.66
20260128 000000;0.3184;0.3188;0.3028;0.3063;343610
20260129 000000;0.3063;0.3067;0.2848;0.2881;392710.65
20260130 000000;0.2881;0.2889;0.2785;0.2887;328375.42
20260131 000000;0.2887;0.2997;0.2635;0.2914;1222158.06
20260201 000000;0.2914;0.297;0.266;0.2684;529683.09
20260202 000000;0.2684;0.2805;0.2586;0.2786;582391.2
20260203 000000;0.2786;0.2819;0.2577;0.2702;486563.74
20260204 000000;0.2702;0.2749;0.2558;0.2606;342231.44
20260205 000000;0.2606;0.2622;0.212;0.2133;946197.06
20260206 000000;0.2133;0.2373;0.1998;0.234;766784.97
20260207 000000;0.234;0.2363;0.2256;0.2324;356019.21
20260208 000000;0.2324;0.2324;0.2193;0.2206;380203.79
20260209 000000;0.2206;0.2229;0.2108;0.2187;340799.73
20260210 000000;0.2187;0.2189;0.2095;0.2137;342529.51
20260211 000000;0.2137;0.2168;0.2059;0.2132;482829.78
20260212 000000;0.2132;0.2308;0.2132;0.2194;431038.68
20260213 000000;0.2194;0.2289;0.2142;0.2264;324569.1
20260214 000000;0.2264;0.2333;0.2252;0.2287;394861.86
20260215 000000;0.2287;0.2311;0.2163;0.2177;405698.36
20260216 000000;0.2177;0.2249;0.2157;0.2224;357561.49
20260217 000000;0.2224;0.2231;0.214;0.2161;393915.71
20260218 000000;0.2161;0.2173;0.2069;0.2087;341263.15
20260219 000000;0.2087;0.2234;0.2073;0.2202;1008536.5
20260220 000000;0.2202;0.221;0.2078;0.2142;547307.34
20260221 000000;0.2142;0.2163;0.2092;0.2094;368103.75
20260222 000000;0.2094;0.2111;0.1988;0.1994;355598.55
20260223 000000;0.1994;0.2019;0.1917;0.1943;474126.8
20260224 000000;0.1943;0.2041;0.1929;0.199;750452.29
20260225 000000;0.199;0.2209;0.1981;0.2146;930540.16
20260226 000000;0.2146;0.2153;0.2019;0.2068;592570.95
20260227 000000;0.2068;0.2152;0.1975;0.2006;782913.23
20260228 000000;0.2006;0.2036;0.186;0.2034;896703.72
20260301 000000;0.2034;0.2037;0.1905;0.194;611134.54
20260302 000000;0.194;0.2057;0.1918;0.2018;528449.01
20260303 000000;0.2018;0.2031;0.1929;0.1983;486212.56
20260304 000000;0.1983;0.2122;0.1948;0.2055;666136.76
20260305 000000;0.2055;0.2083;0.1978;0.2002;491101.81
20260306 000000;0.2002;0.2026;0.1875;0.1877;465104.47
20260307 000000;0.1877;0.1951;0.1846;0.185;654814.75
20260308 000000;0.185;0.1908;0.1794;0.186;766274.97
20260309 000000;0.186;0.192;0.186;0.1873;458521.48
20260310 000000;0.1873;0.1916;0.185;0.1871;553932.77
20260311 000000;0.1871;0.2043;0.1866;0.2027;1096379.29
20260312 000000;0.2027;0.2122;0.1995;0.2027;929062.3
20260313 000000;0.2027;0.2148;0.202;0.2048;558105.77
20260314 000000;0.2048;0.2048;0.1983;0.1996;290113.55
20260315 000000;0.1996;0.2039;0.1981;0.2024;348816.81
20260316 000000;0.2024;0.212;0.2015;0.2099;386358.11
20260317 000000;0.2099;0.2278;0.2044;0.2159;756281.83
20260318 000000;0.2159;0.2221;0.2042;0.2133;621678.41
20260319 000000;0.2133;0.2207;0.2051;0.2149;465978.49
20260320 000000;0.2149;0.2316;0.2131;0.2197;1244559.5
20260321 000000;0.2197;0.2218;0.2062;0.2079;553244.34
20260322 000000;0.2079;0.2106;0.1975;0.201;514376.74
20260323 000000;0.201;0.2126;0.1978;0.2039;406966.57
20260324 000000;0.2039;0.209;0.2012;0.2066;376498.88
20260325 000000;0.2066;0.2141;0.205;0.2096;370529.08
20260326 000000;0.2096;0.2098;0.1931;0.1957;400267.39
20260327 000000;0.1957;0.1984;0.1883;0.1892;359431.03
20260328 000000;0.1892;0.1973;0.1861;0.1929;392115.5
20260329 000000;0.1929;0.1944;0.1816;0.1851;326486.21
20260330 000000;0.1851;0.1997;0.184;0.1979;462753.71
20260331 000000;0.1979;0.1979;0.1889;0.1917;425782.19
20260401 000000;0.1917;0.1975;0.1913;0.1947;321568.47
20260402 000000;0.1947;0.1989;0.1867;0.1958;1287863.34
20260403 000000;0.1958;0.2096;0.1949;0.2036;1135192.4
20260404 000000;0.2036;0.2083;0.1993;0.1999;4656947.47
20260405 000000;0.1999;0.2012;0.1938;0.1981;7589199.4
20260406 000000;0.1981;0.2057;0.1971;0.1981;12744282.63
20260407 000000;0.1981;0.2055;0.1896;0.2053;4603518.58
20260408 000000;0.2053;0.2071;0.1989;0.1994;373357.2
20260409 000000;0.1994;0.2092;0.1962;0.2039;564243.85
20260410 000000;0.2039;0.2087;0.2012;0.206;286229.1
20260411 000000;0.206;0.2073;0.2008;0.2041;277317.19
20260412 000000;0.2041;0.2083;0.1985;0.2027;336103.4
20260413 000000;0.2027;0.2114;0.2002;0.2112;342705.72
20260414 000000;0.2112;0.2148;0.2054;0.2089;296934
20260415 000000;0.2089;0.2169;0.206;0.2106;303663.98
20260416 000000;0.2106;0.2278;0.21;0.2204;247602.99
20260417 000000;0.2204;0.2297;0.216;0.2245;252490.44
