20250101 000000;4.152;4.326;4.141;4.285;9053.34
20250102 000000;4.285;4.354;4.222;4.285;6693.98
20250103 000000;4.285;4.368;4.179;4.34;5308.19
20250104 000000;4.34;4.431;4.259;4.348;5533.83
20250105 000000;4.348;4.555;4.198;4.342;12036.32
20250106 000000;4.342;4.657;4.265;4.473;14799.78
20250107 000000;4.473;4.473;3.919;3.93;27280.61
20250108 000000;3.93;3.981;3.751;3.913;7974.75
20250109 000000;3.913;3.962;3.675;3.836;31658.31
20250110 000000;3.836;4.116;3.826;4.04;39952.51
20250111 000000;4.04;4.078;3.904;3.973;7301.92
20250112 000000;3.973;3.997;3.851;3.889;4380.7
20250113 000000;3.889;4.049;3.601;3.966;33319.37
20250114 000000;3.966;4.119;3.962;4.085;17485.02
20250115 000000;4.085;4.264;4.073;4.217;12527.62
20250116 000000;4.217;4.235;4.065;4.132;8538.54
20250117 000000;4.132;4.374;4.131;4.297;14827.08
20250118 000000;4.297;4.311;3.985;4.165;9993.52
20250119 000000;4.165;4.28;3.824;3.984;24685.01
20250120 000000;3.984;4.421;3.868;3.981;13201.72
20250121 000000;3.981;4.144;3.848;4.083;6598.86
20250122 000000;4.083;4.105;3.896;3.934;5947.42
20250123 000000;3.934;4.018;3.801;3.978;6650.6
20250124 000000;3.978;4.008;3.818;3.871;8848.58
20250125 000000;3.871;3.974;3.842;3.903;8862.45
20250126 000000;3.903;3.944;3.772;3.793;4855.44
20250127 000000;3.793;3.832;3.516;3.741;17635.45
20250128 000000;3.741;3.908;3.685;3.726;15764.52
20250129 000000;3.726;4.02;3.726;3.899;38607.04
20250130 000000;3.899;4.098;3.753;3.785;19833.03
20250131 000000;3.785;4.031;3.756;3.904;16460.89
20250201 000000;3.904;3.986;3.788;3.824;22130.79
20250202 000000;3.824;3.915;3.454;3.639;13471.59
20250203 000000;3.639;3.795;2.779;3.747;69926.88
20250204 000000;3.747;3.778;3.426;3.537;13817.35
20250205 000000;3.537;3.57;3.361;3.412;7883.32
20250206 000000;3.412;3.524;3.284;3.338;10794.17
20250207 000000;3.338;3.593;3.308;3.459;39003.62
20250208 000000;3.459;3.525;3.342;3.513;8218.25
20250209 000000;3.513;3.63;3.271;3.404;15859.74
20250210 000000;3.404;3.49;3.325;3.462;7383.27
20250211 000000;3.462;3.547;3.365;3.432;10797.62
20250212 000000;3.432;3.575;3.362;3.529;8771.79
20250213 000000;3.529;3.544;3.427;3.498;4840.23
