20230918 000000;6;14.89;6;10.61;13072.4
20230919 000000;10.61;13.65;10.05;11.33;10007.88
20230920 000000;11.33;12.3;9.65;9.7;7450.06
20230921 000000;9.7;9.7;7.85;7.85;8679.42
20230922 000000;7.85;10.47;7.43;9.11;5331.87
20230923 000000;9.11;10.02;8.5;9.66;5507.97
20230924 000000;9.66;9.67;8.74;8.77;4432.51
20230925 000000;8.77;11.79;8.54;9.635;6076.6
20230926 000000;9.635;11.309;8.8;9.522;4202.48
20230927 000000;9.522;9.79;8.22;8.237;4533.87
20230928 000000;8.237;8.5;7.5;7.809;6440.63
20230929 000000;7.809;9.09;6.97;7.748;7808.96
20230930 000000;7.748;8.55;7.22;7.968;5303.65
20231001 000000;7.968;8.6;7.55;7.979;4981.43
20231002 000000;7.979;8.7;7.574;8;5005.5
20231003 000000;8;8.71;7.6;8.421;4226.12
20231004 000000;8.421;9.9;8.211;9.036;4538.54
20231005 000000;9.036;9.9;8.01;8.532;5908.75
20231006 000000;8.532;8.949;7.72;8.58;4416.6
20231007 000000;8.58;8.757;7.97;8.048;3973.99
20231008 000000;8.048;8.59;7.77;7.998;4097
20231009 000000;7.998;8.22;6.066;6.637;9173.88
20231010 000000;6.637;6.952;5.8;6.337;7121.08
20231011 000000;6.337;6.953;5.51;5.696;6867
20231012 000000;5.696;6.002;5.29;5.431;7353.08
20231013 000000;5.431;6.23;5.307;5.768;6588.73
20231014 000000;5.768;6.175;5.6;6.035;5307.6
20231015 000000;6.035;6.179;5.44;5.622;5616.64
20231016 000000;5.622;6.5;5.3;6.073;6059.09
20231017 000000;6.073;6.8;5.5;6.306;5296.8
20231018 000000;6.306;6.347;5.3;5.311;5863.61
20231019 000000;5.311;5.968;5.311;5.947;5959.8
20231020 000000;5.947;6.83;5.653;6.202;7458.14
20231021 000000;6.202;7;5.95;6.986;6013.22
20231022 000000;6.986;7.055;6.107;6.145;5260.34
20231023 000000;6.145;6.775;5.651;6.277;6397.18
20231024 000000;6.277;7.806;5.815;6.961;10880.62
20231025 000000;6.961;8.2;6.701;7.729;7595.97
20231026 000000;7.729;8.6;7.398;8.495;5884.88
20231027 000000;8.495;10;8.022;9.358;6218.54
20231028 000000;9.358;9.99;8.5;8.689;4305.17
20231029 000000;8.689;9.529;7.8;9.13;4892.67
20231030 000000;9.13;9.548;8.304;8.574;3920.23
20231031 000000;8.574;10.908;8;8.738;8207.02
20231101 000000;8.738;8.997;7.259;8.182;6656.88
20231102 000000;8.182;8.218;7.307;7.589;6432.9
20231103 000000;7.589;8.111;7.11;7.76;5233.68
20231104 000000;7.76;8.11;7.1;7.45;5569.54
20231105 000000;7.45;8.28;6.814;8.068;7733.25
20231106 000000;8.068;10.8;7.707;9.465;13858.48
20231107 000000;9.465;11.379;8.711;10.37;11421.33
20231108 000000;10.37;13;9.937;12.614;10883.13
20231109 000000;12.614;13.479;10.535;13.018;10775.25
20231110 000000;13.018;13.75;10.302;11.014;10284.03
20231111 000000;11.014;11.501;9.7;10.025;6690.3
20231112 000000;10.025;11;9.443;9.953;5885.36
20231113 000000;9.953;10.79;9.443;10.045;6917.88
20231114 000000;10.045;15.879;10;15.261;17040.91
20231115 000000;15.261;19;12.697;16.396;14757.72
20231116 000000;16.396;17;12.9;14.628;10196.87
20231117 000000;14.628;16;12.9;14.17;5929.18
20231118 000000;14.17;15.5;13.5;13.95;6886.51
20231119 000000;13.95;15.425;13.5;14.284;8653.29
