20241029 000000;0.75;1.92;0.75;1.7;344492.55
20241030 000000;1.7;1.8;1.468;1.519;113902.11
20241031 000000;1.519;1.596;1.244;1.38;104706.73
20241101 000000;1.38;1.408;1.244;1.323;45627.74
20241102 000000;1.323;1.9;1.279;1.313;98491.13
20241103 000000;1.313;1.339;1.18;1.269;44716.61
20241104 000000;1.269;1.292;1.1;1.124;76219.44
20241105 000000;1.124;1.371;1.049;1.273;48993.26
20241106 000000;1.273;1.6;1.02;1.121;150583.23
20241107 000000;1.121;1.301;1.1;1.147;124066.07
20241108 000000;1.147;1.575;1.122;1.442;205539.63
20241109 000000;1.442;1.538;1.311;1.339;99855.09
20241110 000000;1.339;1.446;1.146;1.239;155786.47
20241111 000000;1.239;1.43;1.206;1.387;234869.85
20241112 000000;1.387;1.95;1.3;1.74;421776.58
20241113 000000;1.74;1.88;1.6;1.79;180498.7
20241114 000000;1.79;1.85;1.364;1.469;171040.88
20241115 000000;1.469;1.74;1.313;1.615;152321.2
20241116 000000;1.615;1.615;1.28;1.345;97964.42
20241117 000000;1.345;1.427;1.29;1.3;97108.68
20241118 000000;1.3;1.372;1.119;1.167;120720.07
20241119 000000;1.167;1.25;0.99;1.118;270983.16
20241120 000000;1.118;1.305;0.132;1.216;413648.18
20241121 000000;1.216;1.33;1.102;1.25;159241.77
20241122 000000;1.25;1.275;1.019;1.036;136312.67
20241123 000000;1.036;1.245;0.984;1.044;146435.15
20241124 000000;1.044;1.507;1;1.452;220097.37
20241125 000000;1.452;1.455;1.18;1.219;167695.56
20241126 000000;1.219;1.289;1.088;1.141;115596.49
20241127 000000;1.141;1.207;1.023;1.118;152363.41
20241128 000000;1.118;1.19;1.02;1.118;277956.33
20241129 000000;1.118;1.368;1.088;1.341;233547.06
20241130 000000;1.341;1.398;1.186;1.39;145989.45
20241201 000000;1.39;1.43;1.05;1.137;185838.26
20241202 000000;1.137;1.154;0.855;0.89;375015.52
20241203 000000;0.89;1.055;0.82;0.82;314826.63
20241204 000000;0.82;0.967;0.786;0.848;206743.06
20241205 000000;0.848;0.856;0.7;0.732;208758.03
20241206 000000;0.732;1.399;0.7;1.11;840386.47
20241207 000000;1.11;1.43;1.1;1.261;421103.47
20241208 000000;1.261;1.321;1.109;1.167;185452.75
20241209 000000;1.167;1.254;0.9;0.921;298351.94
20241210 000000;0.921;0.983;0.84;0.965;243147.11
20241211 000000;0.965;0.967;0.878;0.936;158875.15
20241212 000000;0.936;0.962;0.865;0.865;164363.75
20241213 000000;0.865;0.89;0.782;0.846;180877.66
20241214 000000;0.846;0.889;0.812;0.819;113624.1
20241215 000000;0.819;0.9;0.791;0.8;109563.55
20241216 000000;0.8;0.863;0.743;0.785;222486.32
20241217 000000;0.785;0.813;0.71;0.735;163015.29
20241218 000000;0.735;0.744;0.615;0.621;271338.91
20241219 000000;0.621;0.744;0.602;0.615;224914.15
20241220 000000;0.615;0.744;0.57;0.67;303862.57
20241221 000000;0.67;0.79;0.644;0.683;122880.58
20241222 000000;0.683;0.8;0.658;0.69;101752.15
20241223 000000;0.69;0.719;0.6;0.654;214711.95
20241224 000000;0.654;0.697;0.617;0.668;184815.04
20241225 000000;0.668;0.677;0.607;0.633;143663.84
20241226 000000;0.633;0.633;0.512;0.549;211854.19
20241227 000000;0.549;0.602;0.527;0.568;170901.24
20241228 000000;0.568;0.661;0.555;0.569;155863.61
20241229 000000;0.569;0.591;0.502;0.514;175193.98
20241230 000000;0.514;0.612;0.503;0.541;184627.61
20241231 000000;0.541;0.554;0.514;0.533;112868.95
