20250101 000000;0.558;0.5801;0.5395;0.5769;26727.99
20250102 000000;0.5769;0.6052;0.5759;0.593;59439.2
20250103 000000;0.593;0.6242;0.578;0.6217;95515.7
20250104 000000;0.6217;0.6308;0.6033;0.6241;67037.83
20250105 000000;0.6241;0.6396;0.6156;0.636;48224.22
20250106 000000;0.636;0.6462;0.6204;0.6332;39624.76
20250107 000000;0.6332;0.6355;0.5637;0.5641;32857.28
20250108 000000;0.5641;0.5744;0.515;0.5356;33590.83
20250109 000000;0.5356;0.5464;0.5065;0.5224;43250.14
20250110 000000;0.5224;0.5409;0.5143;0.5323;44199.94
20250111 000000;0.5323;0.5389;0.5217;0.5269;23383.43
20250112 000000;0.5269;0.5331;0.5165;0.5243;23591.77
20250113 000000;0.5243;0.5376;0.4737;0.516;43172.3
20250114 000000;0.516;0.5397;0.5122;0.5368;67116.11
20250115 000000;0.5368;0.5648;0.5207;0.5645;42241.81
20250116 000000;0.5645;0.5836;0.5512;0.5702;49606.69
20250117 000000;0.5702;0.6212;0.5701;0.6171;40331.87
20250118 000000;0.6171;0.6209;0.5724;0.588;49695.05
20250119 000000;0.588;0.6122;0.524;0.5313;71697.4
20250120 000000;0.5313;0.578;0.4999;0.5205;64610.65
20250121 000000;0.5205;0.5476;0.4928;0.5353;25302.49
20250122 000000;0.5353;0.541;0.513;0.5145;26702.81
20250123 000000;0.5145;0.5251;0.5008;0.5153;34520.68
20250124 000000;0.5153;0.5249;0.4917;0.4948;41117.65
20250125 000000;0.4948;0.5095;0.488;0.5035;22630.79
20250126 000000;0.5035;0.5888;0.5016;0.5569;134274.46
20250127 000000;0.5569;0.685;0.5511;0.5809;415937.67
20250128 000000;0.5809;0.7401;0.5676;0.6633;339341.78
20250129 000000;0.6633;0.7302;0.6337;0.7034;212161.56
20250130 000000;0.7034;0.7836;0.6955;0.7302;73367.11
20250131 000000;0.7302;0.7498;0.7084;0.7364;45124.35
20250201 000000;0.7364;0.8052;0.7192;0.7261;94599.18
20250202 000000;0.7261;0.824;0.7064;0.755;233609.18
20250203 000000;0.755;0.9157;0.62;0.8777;337474.55
20250204 000000;0.8777;0.9377;0.68;0.7705;507066.14
