20250101 000000;0.4272;0.44;0.425;0.4381;299518.34
20250102 000000;0.4381;0.4635;0.4365;0.4536;405426.32
20250103 000000;0.4536;0.5005;0.4483;0.4876;420932.31
20250104 000000;0.4876;0.4949;0.4764;0.4825;228777.18
20250105 000000;0.4825;0.4831;0.472;0.4808;524619.58
20250106 000000;0.4808;0.5562;0.4789;0.5197;671462.33
20250107 000000;0.5197;0.5209;0.4577;0.4597;535309.8
20250108 000000;0.4597;0.471;0.4317;0.4474;559960.27
20250109 000000;0.4474;0.4552;0.4286;0.4414;349590.95
20250110 000000;0.4414;0.4692;0.4396;0.4603;409058.18
20250111 000000;0.4603;0.4814;0.4518;0.4653;236296.56
20250112 000000;0.4653;0.4675;0.45;0.4566;188997.79
20250113 000000;0.4566;0.467;0.4054;0.4473;520342.28
20250114 000000;0.4473;0.4725;0.4386;0.4423;405649.31
20250115 000000;0.4423;0.472;0.4336;0.468;440346.3
20250116 000000;0.468;0.4789;0.4472;0.4574;522811
20250117 000000;0.4574;0.4912;0.4574;0.4826;341330.22
20250118 000000;0.4826;0.4884;0.422;0.4291;781880.48
20250119 000000;0.4291;0.4415;0.3587;0.361;2237035.13
20250120 000000;0.361;0.3951;0.344;0.3561;1379276.15
20250121 000000;0.3561;0.4155;0.3445;0.3892;858694.24
20250122 000000;0.3892;0.3907;0.36;0.3622;537902.69
20250123 000000;0.3622;0.3814;0.3565;0.3767;483300.12
20250124 000000;0.3767;0.3952;0.3684;0.3775;381863.07
20250125 000000;0.3775;0.3947;0.3701;0.3806;320958.51
20250126 000000;0.3806;0.3847;0.362;0.3628;380885.73
20250127 000000;0.3628;0.3634;0.3276;0.3512;709943.68
20250128 000000;0.3512;0.3557;0.3267;0.3318;532360.07
20250129 000000;0.3318;0.3466;0.33;0.3396;436708.64
20250130 000000;0.3396;0.3536;0.3358;0.3449;420793.18
20250131 000000;0.3449;0.3651;0.3445;0.3503;375475.49
20250201 000000;0.3503;0.3564;0.3217;0.3222;633783.69
20250202 000000;0.3222;0.3302;0.28;0.2959;876313.08
20250203 000000;0.2959;0.3234;0.1972;0.318;1494099.7
20250204 000000;0.318;0.3283;0.2871;0.318;442138.12
20250205 000000;0.318;0.3312;0.3074;0.3184;418538.96
20250206 000000;0.3184;0.3278;0.2975;0.2996;752001.54
20250207 000000;0.2996;0.3196;0.295;0.3036;385866.26
20250208 000000;0.3036;0.3156;0.3007;0.3156;297157.54
20250209 000000;0.3156;0.3233;0.2957;0.3064;352137.91
20250210 000000;0.3064;0.3145;0.2978;0.3051;328174.07
20250211 000000;0.3051;0.3175;0.2969;0.2995;389242.76
20250212 000000;0.2995;0.3181;0.294;0.3155;485030.52
20250213 000000;0.3155;0.32;0.2939;0.308;534749.84
20250214 000000;0.308;0.3159;0.3035;0.3078;408769.13
20250215 000000;0.3078;0.3104;0.2967;0.298;296746.89
20250216 000000;0.298;0.304;0.2913;0.2964;351117.87
20250217 000000;0.2964;0.3077;0.2901;0.2931;333382.86
20250218 000000;0.2931;0.297;0.2792;0.2883;425963.37
20250219 000000;0.2883;0.2905;0.2797;0.2819;352179.78
20250220 000000;0.2819;0.2895;0.28;0.282;424674.75
20250221 000000;0.282;0.297;0.26;0.2758;704278.17
20250222 000000;0.2758;0.2924;0.2743;0.2888;651489.06
20250223 000000;0.2888;0.2969;0.285;0.2912;391152.98
20250224 000000;0.2912;0.2939;0.256;0.2583;599402.22
20250225 000000;0.2583;0.268;0.2453;0.265;677101.58
20250226 000000;0.265;0.2715;0.2503;0.2586;524529.06
20250227 000000;0.2586;0.2726;0.2541;0.2602;533736.04
20250228 000000;0.2602;0.2639;0.2393;0.261;551147.02
20250301 000000;0.261;0.2667;0.2503;0.2576;241681.86
20250302 000000;0.2576;0.2887;0.255;0.2816;671912.58
20250303 000000;0.2816;0.2823;0.243;0.249;485087.9
20250304 000000;0.249;0.2539;0.232;0.2478;850542.24
20250305 000000;0.2478;0.2586;0.2452;0.2564;425522.44
20250306 000000;0.2564;0.2673;0.2486;0.2523;456603.05
20250307 000000;0.2523;0.2576;0.2395;0.2436;461070.7
20250308 000000;0.2436;0.2483;0.24;0.2402;357156.93
20250309 000000;0.2402;0.2426;0.2182;0.2206;586326.85
20250310 000000;0.2206;0.2363;0.2036;0.2065;787548.85
20250311 000000;0.2065;0.226;0.1969;0.2106;1048147.3
20250312 000000;0.2106;0.2376;0.205;0.2255;591424.67
20250313 000000;0.2255;0.2278;0.2017;0.2062;619270
20250314 000000;0.2062;0.2264;0.205;0.2212;396971.07
20250315 000000;0.2212;0.2309;0.2174;0.2237;474805.96
20250316 000000;0.2237;0.2479;0.2197;0.2265;556611.12
20250317 000000;0.2265;0.2396;0.2225;0.2247;354855.75
20250318 000000;0.2247;0.231;0.2187;0.2246;334444.54
20250319 000000;0.2246;0.2413;0.2229;0.2374;547897.81
20250320 000000;0.2374;0.4879;0.2279;0.3484;1729254.93
20250321 000000;0.3484;0.3486;0.2744;0.3068;4741794.11
20250322 000000;0.3068;0.39;0.2946;0.3746;2448870.68
20250323 000000;0.3746;0.4485;0.3561;0.3657;2314453.86
20250324 000000;0.3657;0.3857;0.3475;0.3751;938705.73
20250325 000000;0.3751;0.3849;0.351;0.381;543779.23
20250326 000000;0.381;0.4396;0.362;0.3703;1410894.45
20250327 000000;0.3703;0.4037;0.36;0.3678;476234.53
20250328 000000;0.3678;0.3706;0.3313;0.3467;553929.17
20250329 000000;0.3467;0.3555;0.3043;0.3153;615775.92
