20230622 000000;0.1841;0.1884;0.1766;0.1843;517481.8
20230623 000000;0.1843;0.1859;0.165;0.1707;582771.28
20230624 000000;0.1707;0.1769;0.17;0.173;599775.95
20230625 000000;0.173;0.187;0.165;0.1723;582677.03
20230626 000000;0.1723;0.208;0.165;0.1707;609762.39
20230627 000000;0.1707;0.2005;0.17;0.1798;579648.66
20230628 000000;0.1798;0.186;0.165;0.1683;584884.75
20230629 000000;0.1683;0.1834;0.1675;0.1786;599705.05
20230630 000000;0.1786;0.185;0.1755;0.1844;543930.35
20230701 000000;0.1844;0.185;0.1755;0.1842;554448.99
20230702 000000;0.1842;0.1985;0.1826;0.1924;565752.51
20230703 000000;0.1924;0.1985;0.1755;0.1887;531045.5
20230704 000000;0.1887;0.1974;0.1505;0.1807;835334.8
20230705 000000;0.1807;0.192;0.169;0.173;550824.09
20230706 000000;0.173;0.1833;0.1619;0.1662;582127.4
20230707 000000;0.1662;0.1885;0.1602;0.1848;646626.52
20230708 000000;0.1848;0.186;0.174;0.1811;535664.45
20230709 000000;0.1811;0.2;0.1637;0.1873;555019.71
20230710 000000;0.1873;0.1881;0.1641;0.1692;534367.4
20230711 000000;0.1692;0.171;0.16;0.1657;464784.19
20230712 000000;0.1657;0.171;0.1537;0.1576;496247.41
20230713 000000;0.1576;0.2;0.1555;0.1827;445044.93
20230714 000000;0.1827;0.1827;0.1561;0.1635;437254.75
20230715 000000;0.1635;0.185;0.1552;0.17;537113.73
20230716 000000;0.17;0.205;0.1535;0.1697;434618.61
20230717 000000;0.1697;0.2;0.16;0.1657;493647.93
20230718 000000;0.1657;0.1833;0.1654;0.1666;532685.42
20230719 000000;0.1666;0.18;0.1654;0.168;598358.53
20230720 000000;0.168;0.1745;0.1654;0.1678;528141.97
20230721 000000;0.1678;0.1699;0.1551;0.1643;507332.02
20230722 000000;0.1643;0.168;0.1556;0.1652;506497.24
20230723 000000;0.1652;0.171;0.1636;0.1672;557718.02
20230724 000000;0.1672;0.1692;0.1551;0.159;598223.65
20230725 000000;0.159;0.1637;0.155;0.1565;669671.74
