20230622 000000;3.186;3.26;3.005;3.016;7124.18
20230623 000000;3.016;3.129;3.011;3.068;5692.82
20230624 000000;3.068;3.222;3.062;3.081;8031.32
20230625 000000;3.081;3.17;3.045;3.058;7399.16
20230626 000000;3.058;3.344;3.044;3.132;15778.49
20230627 000000;3.132;3.159;3.055;3.114;5025.46
20230628 000000;3.114;3.129;2.906;2.959;10846.98
20230629 000000;2.959;3.118;2.942;2.999;6374.57
20230630 000000;2.999;3.083;2.863;2.983;12620.53
20230701 000000;2.983;3.058;2.962;3.048;5357.18
20230702 000000;3.048;3.049;2.975;3.014;6896.07
20230703 000000;3.014;3.069;3.002;3.034;6239.59
20230704 000000;3.034;3.091;3.011;3.018;6244.28
20230705 000000;3.018;3.071;2.948;2.981;5647.19
20230706 000000;2.981;3.04;2.941;2.958;5796.81
20230707 000000;2.958;3.251;2.911;3.101;11039.57
20230708 000000;3.101;3.251;3.044;3.076;11785.4
20230709 000000;3.076;3.1;3.034;3.091;4951.89
20230710 000000;3.091;3.091;3.002;3.051;6162.3
20230711 000000;3.051;3.068;3.007;3.044;5008.7
20230712 000000;3.044;3.07;3.01;3.045;6994.62
20230713 000000;3.045;3.122;3.012;3.122;6800.07
20230714 000000;3.122;3.151;3.03;3.058;7427.97
20230715 000000;3.058;3.12;3.03;3.061;5156.91
20230716 000000;3.061;3.072;3.021;3.03;5230.02
20230717 000000;3.03;3.07;3;3.035;5459.07
20230718 000000;3.035;3.059;2.964;2.986;5158.72
20230719 000000;2.986;3.021;2.932;2.948;5649.36
20230720 000000;2.948;2.999;2.942;2.97;5342.9
20230721 000000;2.97;3.055;2.963;3;9278.18
20230722 000000;3;3.138;2.979;3.119;8971.42
20230723 000000;3.119;3.421;3.013;3.074;18398.14
20230724 000000;3.074;3.289;3.059;3.151;13641.47
20230725 000000;3.151;3.21;3.114;3.189;18076.06
20230726 000000;3.189;3.209;3.082;3.098;5748.38
20230727 000000;3.098;3.565;3.081;3.41;27809.94
20230728 000000;3.41;3.506;3.241;3.285;11896.94
20230729 000000;3.285;3.37;3.277;3.282;19149.95
20230730 000000;3.282;3.582;3.257;3.38;30066.44
20230731 000000;3.38;3.496;3.355;3.405;15293.71
20230801 000000;3.405;3.469;3.376;3.421;6294.8
20230802 000000;3.421;3.429;3.351;3.392;12164.73
20230803 000000;3.392;3.437;3.386;3.431;15402.66
20230804 000000;3.431;3.556;3.426;3.453;33748.26
20230805 000000;3.453;3.466;3.289;3.352;17769.49
20230806 000000;3.352;3.402;3.309;3.363;15230.88
20230807 000000;3.363;3.44;3.299;3.344;7442.17
20230808 000000;3.344;3.401;3.326;3.359;5935.69
20230809 000000;3.359;3.406;3.324;3.338;6922.56
20230810 000000;3.338;3.4;3.325;3.362;6345.33
20230811 000000;3.362;3.392;3.343;3.362;5099
20230812 000000;3.362;3.375;3.336;3.347;4814.39
20230813 000000;3.347;3.511;3.313;3.357;6656.77
20230814 000000;3.357;3.612;3.326;3.419;9750.5
20230815 000000;3.419;3.449;3.292;3.298;7485.01
20230816 000000;3.298;3.311;3.096;3.122;5789.31
20230817 000000;3.122;3.358;2.915;3.032;9639.43
20230818 000000;3.032;3.155;2.959;3.054;6599.03
20230819 000000;3.054;3.187;3.033;3.132;10082.8
