20260520 145900;23.32;23.37;23.31;23.37;49
20260520 150000;23.37;23.37;23.28;23.29;3.26
20260520 150100;23.29;23.32;23.29;23.32;22.41
20260520 150200;23.32;23.36;23.32;23.36;2.2
20260520 150300;23.36;23.36;23.27;23.29;0.56
20260520 150400;23.29;23.3;23.27;23.28;1.19
20260520 150500;23.28;23.35;23.28;23.34;1.94
20260520 150600;23.34;23.36;23.34;23.34;1.99
20260520 150700;23.34;23.36;23.34;23.35;1.75
20260520 150800;23.35;23.35;23.33;23.34;2.01
20260520 150900;23.34;23.38;23.34;23.38;1.64
20260520 151000;23.38;23.38;23.35;23.36;1.65
20260520 151100;23.36;23.37;23.3;23.3;2.76
20260520 151200;23.3;23.32;23.3;23.31;21.74
20260520 151300;23.31;23.32;23.31;23.31;2.69
20260520 151400;23.31;23.31;23.29;23.3;2.85
20260520 151500;23.3;23.38;23.29;23.38;2.65
20260520 151600;23.38;23.44;23.38;23.41;3.9
20260520 151700;23.41;23.42;23.39;23.42;2.64
20260520 151800;23.42;23.42;23.38;23.39;2.81
20260520 151900;23.39;23.4;23.37;23.39;2.62
20260520 152000;23.39;23.39;23.37;23.38;2.51
20260520 152100;23.38;23.39;23.38;23.38;2.3
20260520 152200;23.38;23.39;23.38;23.38;1.44
20260520 152300;23.38;23.41;23.38;23.41;1.3
20260520 152400;23.41;23.41;23.32;23.32;1.24
20260520 152500;23.32;23.37;23.3;23.37;4.12
20260520 152600;23.37;23.42;23.37;23.4;1.36
20260520 152700;23.4;23.6;23.4;23.51;72.43
20260520 152800;23.51;23.64;23.51;23.63;1.31
20260520 152900;23.63;23.63;23.56;23.58;0.71
20260520 153000;23.58;23.6;23.58;23.6;1.45
20260520 153100;23.6;23.66;23.6;23.66;0.64
20260520 153200;23.66;23.67;23.66;23.66;1.14
20260520 153300;23.66;23.66;23.63;23.63;1.58
20260520 153400;23.63;23.63;23.61;23.61;1.9
20260520 153500;23.61;23.67;23.58;23.64;41.54
20260520 153600;23.64;23.7;23.64;23.7;1.33
20260520 153700;23.7;23.7;23.65;23.65;2.54
20260520 153800;23.65;23.69;23.65;23.69;2.51
20260520 153900;23.69;23.69;23.66;23.66;1.69
20260520 154000;23.66;23.66;23.6;23.61;16.67
20260520 154100;23.61;23.61;23.6;23.61;9.64
20260520 154200;23.61;23.61;23.6;23.61;10.59
20260520 154300;23.61;23.61;23.58;23.61;6.59
20260520 154400;23.61;23.61;23.59;23.59;2.47
20260520 154500;23.59;23.66;23.59;23.66;2.36
20260520 154600;23.66;23.66;23.61;23.61;1.99
20260520 154700;23.61;23.63;23.61;23.63;1.48
20260520 154800;23.63;23.68;23.61;23.68;3.07
20260520 154900;23.68;23.68;23.65;23.65;2.23
20260520 155000;23.65;23.65;23.6;23.6;1.47
20260520 155100;23.6;23.62;23.6;23.62;2.69
20260520 155200;23.62;23.62;23.61;23.62;2.88
20260520 155300;23.62;23.63;23.62;23.63;7.17
20260520 155400;23.63;23.63;23.62;23.63;0.93
20260520 155500;23.63;23.63;23.61;23.63;1.8
20260520 155600;23.63;23.63;23.6;23.61;2.02
20260520 155700;23.61;23.61;23.55;23.55;1.65
20260520 155800;23.55;23.57;23.55;23.57;1.46
20260520 155900;23.57;23.62;23.57;23.62;4.57
20260520 160000;23.62;23.62;23.61;23.62;2.78
20260520 160100;23.62;23.65;23.6;23.65;4.19
20260520 160200;23.65;23.83;23.63;23.8;14.58
20260520 160300;23.8;23.84;23.7;23.71;21.26
20260520 160400;23.71;23.72;23.69;23.72;2.36
20260520 160500;23.72;23.79;23.7;23.79;2.12
20260520 160600;23.79;23.79;23.66;23.66;3.29
20260520 160700;23.66;23.72;23.66;23.71;2.3
20260520 160800;23.71;23.71;23.71;23.71;0
20260520 160900;23.71;23.74;23.7;23.72;2.65
20260520 161000;23.72;23.85;23.72;23.85;7.74
20260520 161100;23.85;23.85;23.79;23.83;1.86
20260520 161200;23.83;23.84;23.81;23.84;3.07
20260520 161300;23.84;23.86;23.83;23.86;2.48
20260520 161400;23.86;23.86;23.84;23.84;4.88
20260520 161500;23.84;23.85;23.82;23.83;4.35
20260520 161600;23.83;23.91;23.83;23.91;4.07
20260520 161700;23.91;23.91;23.8;23.83;0.82
20260520 161800;23.83;23.83;23.81;23.82;0.9
20260520 161900;23.82;23.85;23.79;23.85;3.96
20260520 162000;23.85;23.85;23.81;23.82;7.41
20260520 162100;23.82;23.87;23.82;23.87;10.56
20260520 162200;23.87;23.87;23.82;23.82;4.6
20260520 162300;23.82;23.88;23.82;23.88;8.52
20260520 162400;23.88;23.94;23.87;23.94;7.96
20260520 162500;23.94;23.94;23.89;23.89;3.34
20260520 162600;23.89;23.93;23.89;23.89;3.75
20260520 162700;23.89;23.91;23.88;23.88;2.72
20260520 162800;23.88;23.88;23.85;23.87;2.24
20260520 162900;23.87;23.87;23.83;23.83;2.29
20260520 163000;23.83;23.86;23.83;23.84;0.65
20260520 163100;23.84;23.87;23.84;23.87;0.83
20260520 163200;23.87;23.87;23.86;23.86;1.15
20260520 163300;23.86;23.86;23.84;23.84;1.05
20260520 163400;23.84;23.85;23.84;23.84;1.21
20260520 163500;23.84;23.89;23.84;23.89;1.08
20260520 163600;23.89;23.89;23.88;23.88;4.94
20260520 163700;23.88;23.88;23.85;23.85;2.42
20260520 163800;23.85;23.97;23.85;23.97;7.48
20260520 163900;23.97;23.97;23.93;23.94;1.55
20260520 164000;23.94;23.96;23.94;23.96;1.77
20260520 164100;23.96;23.96;23.94;23.94;1.82
20260520 164200;23.94;23.94;23.92;23.92;2.44
20260520 164300;23.92;23.95;23.88;23.88;3.64
20260520 164400;23.88;24.04;23.88;24.04;4.4
20260520 164500;24.04;24.04;24;24.01;2.81
20260520 164600;24.01;24.03;23.99;24;1.69
20260520 164700;24;24;23.97;23.98;2
20260520 164800;23.98;24.01;23.98;23.99;2.28
20260520 164900;23.99;24;23.99;23.99;2
20260520 165000;23.99;24;23.99;23.99;2.29
20260520 165100;23.99;24;23.99;23.99;2.36
20260520 165200;23.99;23.99;23.95;23.96;2.37
20260520 165300;23.96;23.96;23.94;23.95;1.84
20260520 165400;23.95;23.95;23.92;23.92;1.65
20260520 165500;23.92;23.92;23.91;23.92;1.63
20260520 165600;23.92;23.98;23.91;23.98;3.98
20260520 165700;23.98;23.99;23.98;23.99;0.38
20260520 165800;23.99;23.99;23.97;23.97;0.39
20260520 165900;23.97;23.97;23.95;23.96;0.29
20260520 170000;23.96;23.96;23.93;23.93;0.33
20260520 170100;23.93;23.96;23.92;23.92;0.28
20260520 170200;23.92;23.96;23.92;23.96;0.74
20260520 170300;23.96;23.96;23.94;23.94;1.7
20260520 170400;23.94;23.96;23.94;23.94;1.67
20260520 170500;23.94;23.94;23.92;23.92;1.79
20260520 170600;23.92;23.92;23.9;23.92;0.2
20260520 170700;23.92;23.95;23.92;23.94;0.2
20260520 170800;23.94;23.94;23.92;23.94;0.2
20260520 170900;23.94;23.94;23.92;23.93;1.15
20260520 171000;23.93;23.93;23.91;23.93;1.49
20260520 171100;23.93;23.93;23.91;23.92;1.53
20260520 171200;23.92;23.92;23.9;23.9;10.04
20260520 171300;23.9;23.94;23.9;23.91;9
20260520 171400;23.91;23.91;23.9;23.9;5.04
20260520 171500;23.9;23.93;23.9;23.92;0.26
20260520 171600;23.92;23.93;23.9;23.9;13.69
20260520 171700;23.9;23.94;23.9;23.94;3.66
20260520 171800;23.94;23.94;23.92;23.93;1.31
20260520 171900;23.93;24;23.93;24;4.74
20260520 172000;24;24;23.95;23.95;0.53
20260520 172100;23.95;23.98;23.95;23.96;0.49
20260520 172200;23.96;23.98;23.96;23.96;0.51
20260520 172300;23.96;23.97;23.96;23.96;0.74
20260520 172400;23.96;23.98;23.95;23.95;0.67
20260520 172500;23.95;23.98;23.95;23.98;0.96
20260520 172600;23.98;23.98;23.94;23.94;0.7
20260520 172700;23.94;23.95;23.94;23.94;0.74
20260520 172800;23.94;23.96;23.94;23.96;0.67
20260520 172900;23.96;23.96;23.92;23.92;2.16
20260520 173000;23.92;23.94;23.89;23.89;1.93
20260520 173100;23.89;23.89;23.79;23.79;1.82
20260520 173200;23.79;23.79;23.7;23.7;3.45
20260520 173300;23.7;23.7;23.69;23.7;1.04
20260520 173400;23.7;23.73;23.7;23.7;0.9
20260520 173500;23.7;23.71;23.67;23.71;1.2
20260520 173600;23.71;23.75;23.71;23.75;2.65
20260520 173700;23.75;23.75;23.71;23.73;2.41
20260520 173800;23.73;23.76;23.73;23.76;1.89
20260520 173900;23.76;23.79;23.76;23.78;1.64
20260520 174000;23.78;23.78;23.77;23.77;0.45
20260520 174100;23.77;23.77;23.76;23.77;1.17
20260520 174200;23.77;23.77;23.74;23.74;1.22
20260520 174300;23.74;23.74;23.72;23.73;2.13
20260520 174400;23.73;23.73;23.7;23.7;0.73
20260520 174500;23.7;23.71;23.69;23.71;1.15
20260520 174600;23.71;23.72;23.71;23.72;2.89
20260520 174700;23.72;23.78;23.72;23.78;2.03
20260520 174800;23.78;23.78;23.73;23.73;2.05
20260520 174900;23.73;23.73;23.72;23.72;1.07
20260520 175000;23.72;23.72;23.71;23.71;1.07
20260520 175100;23.71;23.71;23.69;23.69;3.57
20260520 175200;23.69;23.71;23.68;23.68;1.78
20260520 175300;23.68;23.82;23.68;23.81;1.79
20260520 175400;23.81;23.81;23.81;23.81;0
20260520 175500;23.81;23.82;23.81;23.81;2.1
20260520 175600;23.81;23.84;23.81;23.83;3.41
20260520 175700;23.83;23.83;23.79;23.79;1.51
20260520 175800;23.79;23.81;23.79;23.81;1.75
20260520 175900;23.81;23.85;23.81;23.85;2.89
20260520 180000;23.85;23.85;23.74;23.74;2.93
20260520 180100;23.74;23.79;23.74;23.78;2.67
20260520 180200;23.78;23.78;23.73;23.75;2.98
20260520 180300;23.75;23.75;23.73;23.74;0.21
20260520 180400;23.74;23.74;23.68;23.68;0.19
20260520 180500;23.68;23.7;23.68;23.7;1.02
20260520 180600;23.7;23.88;23.68;23.79;75.04
20260520 180700;23.79;23.79;23.77;23.78;2.21
20260520 180800;23.78;23.78;23.72;23.73;2.12
20260520 180900;23.73;23.74;23.73;23.73;2.21
20260520 181000;23.73;23.74;23.72;23.72;2.38
20260520 181100;23.72;23.73;23.72;23.72;1.96
20260520 181200;23.72;23.72;23.7;23.7;2.03
20260520 181300;23.7;23.7;23.68;23.68;1.86
20260520 181400;23.68;23.7;23.68;23.68;1.49
20260520 181500;23.68;23.7;23.67;23.67;4.95
20260520 181600;23.67;23.71;23.67;23.71;2
20260520 181700;23.71;23.71;23.68;23.68;0.63
20260520 181800;23.68;23.68;23.67;23.68;1.46
20260520 181900;23.68;23.69;23.68;23.69;0.61
20260520 182000;23.69;23.69;23.68;23.69;1.33
20260520 182100;23.69;23.69;23.68;23.69;1.3
20260520 182200;23.69;23.69;23.67;23.68;2.18
20260520 182300;23.68;23.68;23.67;23.67;0.78
20260520 182400;23.67;23.7;23.66;23.66;2.23
20260520 182500;23.66;23.66;23.64;23.64;0.8
20260520 182600;23.64;23.66;23.63;23.65;2.01
20260520 182700;23.65;23.65;23.63;23.63;1.31
20260520 182800;23.63;23.64;23.63;23.63;1.08
20260520 182900;23.63;23.67;23.63;23.67;6.96
20260520 183000;23.67;23.68;23.67;23.67;1.76
20260520 183100;23.67;23.68;23.67;23.68;0.9
20260520 183200;23.68;23.68;23.64;23.64;6.11
20260520 183300;23.64;23.64;23.62;23.62;1.42
20260520 183400;23.62;23.63;23.62;23.63;0.69
20260520 183500;23.63;23.63;23.59;23.61;1.41
20260520 183600;23.61;23.63;23.61;23.62;2.31
20260520 183700;23.62;23.66;23.62;23.65;1.83
20260520 183800;23.65;23.66;23.62;23.62;1.95
20260520 183900;23.62;23.71;23.61;23.71;7.55
20260520 184000;23.71;23.74;23.71;23.73;0.97
20260520 184100;23.73;23.73;23.7;23.72;0.69
20260520 184200;23.72;23.72;23.71;23.72;1.44
20260520 184300;23.72;23.72;23.68;23.68;2.64
20260520 184400;23.68;23.71;23.68;23.7;2.52
20260520 184500;23.7;23.7;23.67;23.68;2.59
20260520 184600;23.68;23.68;23.63;23.64;0.28
20260520 184700;23.64;23.64;23.61;23.61;0.34
20260520 184800;23.61;23.62;23.6;23.62;0.29
20260520 184900;23.62;23.62;23.6;23.61;0.36
20260520 185000;23.61;23.61;23.6;23.61;1.13
20260520 185100;23.61;23.63;23.61;23.63;0.53
20260520 185200;23.63;23.64;23.63;23.63;0.95
20260520 185300;23.63;23.64;23.63;23.64;2
20260520 185400;23.64;23.66;23.63;23.66;1.77
20260520 185500;23.66;23.66;23.65;23.66;1.64
20260520 185600;23.66;23.66;23.63;23.63;0.91
20260520 185700;23.63;23.65;23.63;23.65;0.86
20260520 185800;23.65;23.65;23.63;23.63;0.9
20260520 185900;23.63;23.65;23.63;23.64;0.34
20260520 190000;23.64;23.64;23.63;23.63;0.48
20260520 190100;23.63;23.64;23.55;23.55;9.22
20260520 190200;23.55;23.63;23.55;23.62;1.73
20260520 190300;23.62;23.62;23.61;23.61;1
20260520 190400;23.61;23.61;23.6;23.61;2.37
20260520 190500;23.61;23.61;23.57;23.59;2.14
20260520 190600;23.59;23.59;23.56;23.56;2.5
20260520 190700;23.56;23.56;23.55;23.56;1.68
20260520 190800;23.56;23.6;23.56;23.6;2.47
20260520 190900;23.6;23.6;23.58;23.58;2.93
20260520 191000;23.58;23.64;23.58;23.64;0.52
20260520 191100;23.64;23.64;23.61;23.61;0.51
20260520 191200;23.61;23.64;23.61;23.62;0.5
20260520 191300;23.62;23.63;23.61;23.63;2.35
20260520 191400;23.63;23.63;23.6;23.6;3.18
20260520 191500;23.6;23.61;23.59;23.6;3.18
20260520 191600;23.6;23.6;23.59;23.59;0.5
20260520 191700;23.59;23.62;23.59;23.6;1.5
20260520 191800;23.6;23.62;23.6;23.61;0.87
20260520 191900;23.61;23.63;23.61;23.63;1.18
20260520 192000;23.63;23.64;23.61;23.64;1.41
20260520 192100;23.64;23.65;23.64;23.64;0.91
20260520 192200;23.64;23.64;23.63;23.64;0.87
20260520 192300;23.64;23.65;23.64;23.64;0.75
20260520 192400;23.64;23.68;23.64;23.68;0.67
20260520 192500;23.68;23.7;23.68;23.69;0.7
20260520 192600;23.69;23.69;23.62;23.63;1.07
20260520 192700;23.63;23.63;23.61;23.63;1.12
20260520 192800;23.63;23.63;23.61;23.61;0.66
20260520 192900;23.61;23.62;23.61;23.61;0.99
20260520 193000;23.61;23.64;23.61;23.63;2.04
20260520 193100;23.63;23.65;23.63;23.63;1.82
20260520 193200;23.63;23.65;23.62;23.65;1.72
20260520 193300;23.65;23.65;23.64;23.65;1.68
20260520 193400;23.65;23.65;23.63;23.65;2.1
20260520 193500;23.65;23.65;23.62;23.62;1.94
20260520 193600;23.62;23.66;23.62;23.65;2.09
20260520 193700;23.65;23.65;23.62;23.63;3.36
20260520 193800;23.63;23.65;23.62;23.65;3.31
20260520 193900;23.65;23.65;23.63;23.65;2.86
20260520 194000;23.65;23.67;23.65;23.65;1.91
