20230622 000000;0.1012;0.104;0.0981;0.0985;188319.36
20230623 000000;0.0985;0.105;0.0977;0.1028;202397.74
20230624 000000;0.1028;0.1036;0.0993;0.1017;229109.55
20230625 000000;0.1017;0.108;0.1011;0.1034;308724.99
20230626 000000;0.1034;0.1039;0.0989;0.1003;260066.13
20230627 000000;0.1003;0.1022;0.0998;0.1011;190778.74
20230628 000000;0.1011;0.1016;0.0909;0.0933;173464.37
20230629 000000;0.0933;0.0967;0.093;0.0938;194048.74
20230630 000000;0.0938;0.1003;0.0918;0.0987;283788.32
20230701 000000;0.0987;0.1023;0.0984;0.1014;177092.37
20230702 000000;0.1014;0.1016;0.0972;0.1011;176853.76
20230703 000000;0.1011;0.1071;0.1008;0.1047;243514.43
20230704 000000;0.1047;0.1061;0.1022;0.1033;212860.51
20230705 000000;0.1033;0.1055;0.0987;0.0993;188480.3
20230706 000000;0.0993;0.1018;0.0928;0.0928;228951.1
20230707 000000;0.0928;0.0966;0.092;0.0946;204418.07
20230708 000000;0.0946;0.0964;0.0934;0.0948;213664.05
20230709 000000;0.0948;0.0956;0.0923;0.0929;241732.51
20230710 000000;0.0929;0.0955;0.0905;0.0927;401520.32
20230711 000000;0.0927;0.0938;0.0907;0.0924;341752.73
20230712 000000;0.0924;0.0946;0.0912;0.0919;249412.51
20230713 000000;0.0919;0.1029;0.0903;0.1017;355366.39
20230714 000000;0.1017;0.1059;0.0963;0.0998;347704.17
20230715 000000;0.0998;0.1007;0.0978;0.0983;227059.96
20230716 000000;0.0983;0.0987;0.0936;0.0943;222841.79
20230717 000000;0.0943;0.102;0.0938;0.1004;327024.35
20230718 000000;0.1004;0.1024;0.0949;0.0966;202369.9
20230719 000000;0.0966;0.0981;0.0953;0.0957;213950.81
20230720 000000;0.0957;0.0986;0.0945;0.0956;241205.43
20230721 000000;0.0956;0.0976;0.0947;0.0957;222814.2
20230722 000000;0.0957;0.0978;0.0926;0.0937;198968.59
20230723 000000;0.0937;0.0975;0.0932;0.0962;225648.19
20230724 000000;0.0962;0.0964;0.09;0.0915;253697.93
20230725 000000;0.0915;0.0931;0.0904;0.0918;274777.65
20230726 000000;0.0918;0.0928;0.0902;0.092;268708.46
20230727 000000;0.092;0.0946;0.0911;0.0924;206509.69
20230728 000000;0.0924;0.0941;0.0917;0.0926;224367.83
20230729 000000;0.0926;0.0949;0.0925;0.0949;207593.06
20230730 000000;0.0949;0.0949;0.0912;0.0922;259604.13
20230731 000000;0.0922;0.0952;0.0907;0.0915;288340.72
20230801 000000;0.0915;0.0931;0.0893;0.0928;264672.33
20230802 000000;0.0928;0.0937;0.0901;0.0911;220574.1
20230803 000000;0.0911;0.0965;0.09;0.0947;230766.82
20230804 000000;0.0947;0.0956;0.0913;0.0923;234694.86
20230805 000000;0.0923;0.0935;0.0897;0.0932;236008.08
20230806 000000;0.0932;0.1029;0.0928;0.0988;989721.69
20230807 000000;0.0988;0.139;0.0975;0.1357;6300092.22
20230808 000000;0.1357;0.178;0.1225;0.1288;6163653.87
20230809 000000;0.1288;0.155;0.11;0.1183;1539006.98
20230810 000000;0.1183;0.1183;0.1074;0.1133;504745.87
20230811 000000;0.1133;0.1184;0.1084;0.1158;729552.96
20230812 000000;0.1158;0.1219;0.1125;0.116;465105.96
20230813 000000;0.116;0.1285;0.1135;0.1211;645751.01
20230814 000000;0.1211;0.1286;0.1168;0.1217;632221.93
20230815 000000;0.1217;0.1241;0.1067;0.1099;489663.24
20230816 000000;0.1099;0.1115;0.1028;0.1072;384011.83
20230817 000000;0.1072;0.1078;0.081;0.0907;722733.88
