20250101 000000;46.4;47.74;45;47.58;366.861
20250102 000000;47.58;49.74;47.58;49.41;393.458
20250103 000000;49.41;52.25;49.14;51.85;390.569
20250104 000000;51.85;52.7;50.18;50.87;411.014
20250105 000000;50.87;51.49;50.14;50.53;391
20250106 000000;50.53;52.56;49.86;50.83;420.47
20250107 000000;50.83;51.72;47.25;47.47;411.668
20250108 000000;47.47;48.94;44.32;46.37;535.084
20250109 000000;46.37;46.71;44.12;45.4;626.568
20250110 000000;45.4;46.99;44.84;45.87;607.364
20250111 000000;45.87;46.5;45.34;45.83;395.905
20250112 000000;45.83;46.3;44.75;45.28;434.152
20250113 000000;45.28;46.28;40.07;43.12;765.714
20250114 000000;43.12;45;42.83;44.42;559.476
20250115 000000;44.42;46.71;43.62;46.45;367.733
20250116 000000;46.45;46.67;44.71;45.76;396.643
20250117 000000;45.76;48.07;45.76;47.96;456.742
20250118 000000;47.96;47.99;44.25;45.03;402.377
20250119 000000;45.03;45.72;40.12;40.92;473.367
20250120 000000;40.92;43.61;39.19;39.64;416.912
20250121 000000;39.64;42.66;39.08;41.48;413.708
20250122 000000;41.48;42.25;40.79;40.93;536.828
20250123 000000;40.93;41.92;40.08;41.41;441.12
20250124 000000;41.41;41.65;39.9;40.3;434.6
20250125 000000;40.3;42.63;39.29;40.9;440.28
20250126 000000;40.9;41.85;39.98;39.98;405.122
20250127 000000;39.98;40.2;37.35;39.86;459.664
20250128 000000;39.86;40.32;35;37.89;659.836
20250129 000000;37.89;40.14;37.83;39.08;437.695
20250130 000000;39.08;40.78;38.56;39.87;408.553
20250131 000000;39.87;41.11;39.2;39.91;449.058
20250201 000000;39.91;40.05;37.2;37.46;417.561
20250202 000000;37.46;37.93;32.73;33.72;517.621
20250203 000000;33.72;35.12;27.15;34.65;721.063
20250204 000000;34.65;34.91;32.1;33.56;505.708
20250205 000000;33.56;35.14;33.12;33.91;807.317
20250206 000000;33.91;34.55;32.05;32.11;483.685
20250207 000000;32.11;34.27;31.86;32.86;487.196
20250208 000000;32.86;35.01;32.11;34.5;785.651
20250209 000000;34.5;35.09;32.53;33.96;541.435
20250210 000000;33.96;38.02;32.72;35.53;1193.227
20250211 000000;35.53;37.08;33.48;33.88;1721.2
20250212 000000;33.88;38.11;33.67;36.46;796.751
20250213 000000;36.46;37;35.22;35.83;863.195
20250214 000000;35.83;37.4;35.54;37.27;792.161
20250215 000000;37.27;37.52;35.9;36.07;499.987
20250216 000000;36.07;37.23;35.65;36.39;495.385
20250217 000000;36.39;37.18;34.97;35.67;541.991
20250218 000000;35.67;35.89;33.27;34.51;528.066
20250219 000000;34.51;35.41;34.28;34.75;6930.62
20250220 000000;34.75;35.64;34.6;35.35;7692.79
20250221 000000;35.35;36.61;33.27;33.77;11034.923
20250222 000000;33.77;35.58;33.61;35.25;7380.946
20250223 000000;35.25;35.58;33.91;34.44;5798.319
20250224 000000;34.44;34.63;30.08;30.32;7992.311
20250225 000000;30.32;31.13;28.78;30.8;8724.839
20250226 000000;30.8;31.9;29.9;31.18;8713.952
20250227 000000;31.18;32.04;30.55;31.56;6539.201
20250228 000000;31.56;31.71;28.87;31.6;9185.396
20250301 000000;31.6;31.69;29.51;30.25;6310.684
20250302 000000;30.25;32.85;30.08;32.68;10711.796
20250303 000000;32.68;32.75;28.02;28.64;8704.579
20250304 000000;28.64;28.66;26.34;27.69;9657.143
20250305 000000;27.69;28.69;27.31;28.56;6853.973
20250306 000000;28.56;29.71;27.64;28.12;5943.048
20250307 000000;28.12;28.86;26.99;28.11;9603.393
20250308 000000;28.11;28.6;27.35;27.86;5597.89
20250309 000000;27.86;28.03;25.54;25.91;7195.377
20250310 000000;25.91;27.25;24.58;24.94;9224.069
20250311 000000;24.94;26.76;23.88;26.1;9026.347
20250312 000000;26.1;27.12;25.37;26.97;8621.607
20250313 000000;26.97;27.54;26.03;26.95;8094.859
20250314 000000;26.95;27.99;26.82;27.63;5491.783
20250315 000000;27.63;28.42;27.31;28.34;5098.586
20250316 000000;28.34;28.4;27.12;27.47;5736.653
