20260101 000000;0.4076;0.4087;0.3999;0.4066;144022.76
20260102 000000;0.4066;0.4084;0.4016;0.4084;144009.12
20260103 000000;0.4084;0.4261;0.4074;0.4133;153453.07
20260104 000000;0.4133;0.4172;0.408;0.415;146649.12
20260105 000000;0.415;0.417;0.4067;0.41;138347.51
20260106 000000;0.41;0.4144;0.402;0.406;176669.09
20260107 000000;0.406;0.4134;0.4;0.4079;140246.58
20260108 000000;0.4079;0.409;0.4;0.4049;143721.29
20260109 000000;0.4049;0.414;0.3935;0.4099;152219.17
20260110 000000;0.4099;0.4139;0.4041;0.412;142216.08
20260111 000000;0.412;0.4183;0.4086;0.4139;146852.7
20260112 000000;0.4139;0.4157;0.4079;0.4122;142801.55
20260113 000000;0.4122;0.4152;0.4073;0.4074;139360.54
20260114 000000;0.4074;0.4106;0.4024;0.4083;144953.5
20260115 000000;0.4083;0.414;0.4013;0.4062;158582.92
20260116 000000;0.4062;0.4066;0.4014;0.4042;147350.67
20260117 000000;0.4042;0.4049;0.4013;0.4025;133637.14
20260118 000000;0.4025;0.4069;0.4007;0.4064;143083.32
20260119 000000;0.4064;0.4076;0.3987;0.4068;167496.89
20260120 000000;0.4068;0.4068;0.39;0.4028;138384.25
20260121 000000;0.4028;0.4293;0.3989;0.4276;157239.39
20260122 000000;0.4276;0.4292;0.4059;0.4203;152967.82
20260123 000000;0.4203;0.4396;0.417;0.4171;135851.56
20260124 000000;0.4171;0.4507;0.417;0.4507;146094.68
20260125 000000;0.4507;0.6;0.4506;0.5092;319395.68
20260126 000000;0.5092;0.6119;0.4939;0.5356;161881.62
20260127 000000;0.5356;0.715;0.5212;0.6619;154294.85
20260128 000000;0.6619;0.7097;0.5117;0.5214;128785.08
20260129 000000;0.5214;0.5381;0.4621;0.5008;122547.89
20260130 000000;0.5008;0.5045;0.4732;0.4985;129004.84
20260131 000000;0.4985;0.5098;0.4361;0.4919;139930.55
20260201 000000;0.4919;0.5403;0.4874;0.5067;120754.21
20260202 000000;0.5067;0.5274;0.4835;0.5253;125336.89
20260203 000000;0.5253;0.5536;0.4899;0.5291;122019.06
20260204 000000;0.5291;0.5495;0.496;0.5169;104524.91
20260205 000000;0.5169;0.5175;0.4663;0.4731;114415.34
20260206 000000;0.4731;0.5267;0.4606;0.4881;125472.07
20260207 000000;0.4881;0.5088;0.4794;0.5027;116883.42
20260208 000000;0.5027;0.5068;0.4879;0.4973;118835.78
20260209 000000;0.4973;0.5059;0.4839;0.5011;118253.93
20260210 000000;0.5011;0.5053;0.4782;0.4977;120449.15
20260211 000000;0.4977;0.5027;0.4856;0.4951;116060.28
20260212 000000;0.4951;0.5077;0.475;0.5043;118913.54
20260213 000000;0.5043;0.5082;0.49;0.4997;121594.12
20260214 000000;0.4997;0.4999;0.4877;0.4946;119071.45
20260215 000000;0.4946;0.4946;0.4864;0.4946;114419.85
20260216 000000;0.4946;0.4963;0.4856;0.4895;139794.7
20260217 000000;0.4895;0.495;0.4755;0.4931;127584.13
20260218 000000;0.4931;0.4931;0.4825;0.4926;124019.11
20260219 000000;0.4926;0.4948;0.4826;0.4913;137921.21
20260220 000000;0.4913;0.494;0.4824;0.4929;130659.55
20260221 000000;0.4929;0.494;0.4772;0.4891;115551.41
20260222 000000;0.4891;0.5193;0.465;0.4837;126053.32
20260223 000000;0.4837;0.4846;0.4568;0.475;113239.85
20260224 000000;0.475;0.4757;0.4552;0.4728;118379.07
20260225 000000;0.4728;0.4854;0.4592;0.4794;131167.94
20260226 000000;0.4794;0.4838;0.4453;0.4509;125662.29
20260227 000000;0.4509;0.4826;0.4255;0.4587;134019.12
20260228 000000;0.4587;0.4641;0.4347;0.4534;130429.98
20260301 000000;0.4534;0.4699;0.4461;0.4669;121592.95
20260302 000000;0.4669;0.4673;0.4488;0.4636;125315.18
20260303 000000;0.4636;0.4641;0.43;0.4415;130450.75
20260304 000000;0.4415;0.4726;0.439;0.4518;124953.06
20260305 000000;0.4518;0.5008;0.4511;0.4821;126204.03
20260306 000000;0.4821;0.5025;0.4641;0.4765;129765.97
20260307 000000;0.4765;0.5031;0.4718;0.4846;119703.08
20260308 000000;0.4846;0.4963;0.4797;0.4834;116189.65
20260309 000000;0.4834;0.4859;0.4603;0.4611;140314.55
20260310 000000;0.4611;0.4846;0.4601;0.4792;125813.07
20260311 000000;0.4792;0.4821;0.4618;0.47;118094.25
20260312 000000;0.47;0.4705;0.4537;0.4674;127113.3
20260313 000000;0.4674;0.4674;0.44;0.454;131861.66
20260314 000000;0.454;0.4666;0.4491;0.4587;124514.91
20260315 000000;0.4587;0.4598;0.4397;0.4515;123600.4
20260316 000000;0.4515;0.4675;0.45;0.4675;131306.12
20260317 000000;0.4675;0.4742;0.4609;0.4636;124901.94
20260318 000000;0.4636;0.4695;0.4504;0.4553;121600.73
20260319 000000;0.4553;0.4599;0.4236;0.4507;200813.13
20260320 000000;0.4507;0.4647;0.4437;0.4456;129197.62
20260321 000000;0.4456;0.475;0.4437;0.4676;130365.21
20260322 000000;0.4676;0.4717;0.446;0.4502;127991.75
20260323 000000;0.4502;0.4647;0.4384;0.4567;131783.87
20260324 000000;0.4567;0.4611;0.4184;0.443;200428.08
20260325 000000;0.443;0.4541;0.4392;0.4408;127991.29
20260326 000000;0.4408;0.4489;0.435;0.4428;132354.4
20260327 000000;0.4428;0.4458;0.434;0.4429;137623.17
20260328 000000;0.4429;0.4502;0.4372;0.4452;127138.96
20260329 000000;0.4452;0.4508;0.4379;0.4403;130280.42
20260330 000000;0.4403;0.4411;0.421;0.4236;130747.13
20260331 000000;0.4236;0.4336;0.4039;0.4217;142275.35
20260401 000000;0.4217;0.4427;0.4205;0.4348;128449.4
20260402 000000;0.4348;0.4421;0.3911;0.4228;191578.52
20260403 000000;0.4228;0.4304;0.4094;0.4101;141542.99
20260404 000000;0.4101;0.4303;0.4074;0.4283;139070.51
20260405 000000;0.4283;0.4317;0.4143;0.4254;143394.32
20260406 000000;0.4254;0.4268;0.4102;0.4125;139969.97
20260407 000000;0.4125;0.4382;0.4103;0.4213;151542.21
20260408 000000;0.4213;0.4426;0.4199;0.4372;142414.65
20260409 000000;0.4372;0.4486;0.4332;0.4372;128906.75
20260410 000000;0.4372;0.4385;0.4177;0.4285;135684.24
20260411 000000;0.4285;0.4428;0.4154;0.4391;137233.63
20260412 000000;0.4391;0.4398;0.4283;0.4387;131655.71
20260413 000000;0.4387;0.4418;0.429;0.4411;132465.45
20260414 000000;0.4411;0.4447;0.4101;0.4368;142995.4
20260415 000000;0.4368;0.444;0.4303;0.4381;123274.11
20260416 000000;0.4381;0.5256;0.4379;0.4856;130149.38
20260417 000000;0.4856;0.5149;0.4768;0.485;110210.08
20260418 000000;0.485;0.5109;0.4763;0.4897;122034.82
20260419 000000;0.4897;0.4902;0.4773;0.484;121372.63
20260420 000000;0.484;0.4901;0.4585;0.4727;140003.97
20260421 000000;0.4727;0.4733;0.4523;0.4625;118099.54
20260422 000000;0.4625;0.481;0.4591;0.4781;126150.66
20260423 000000;0.4781;0.4851;0.4687;0.48;114537.73
20260424 000000;0.48;0.4803;0.4633;0.4665;125305.07
20260425 000000;0.4665;0.4901;0.4664;0.4865;112704.67
20260426 000000;0.4865;0.5069;0.4823;0.5049;116898.76
20260427 000000;0.5049;0.508;0.4701;0.4724;113786.22
20260428 000000;0.4724;0.4854;0.4408;0.4632;121703.57
20260429 000000;0.4632;0.4715;0.43;0.453;128035.44
20260430 000000;0.453;0.46;0.4216;0.4588;129789.76
20260501 000000;0.4588;0.4628;0.449;0.4501;128345.32
20260502 000000;0.4501;0.4548;0.4389;0.4548;128208.46
20260503 000000;0.4548;0.4715;0.4507;0.451;123953.04
