20250101 000000;0.6966;0.7327;0.681;0.7288;331867.54
20250102 000000;0.7288;0.7588;0.7288;0.7434;279708.8
20250103 000000;0.7434;0.7967;0.7327;0.791;242887.29
20250104 000000;0.791;0.8074;0.7823;0.7939;259556.76
20250105 000000;0.7939;0.8097;0.7796;0.8059;184842.04
20250106 000000;0.8059;0.85;0.7954;0.8383;342146.75
20250107 000000;0.8383;0.8383;0.7483;0.7503;544367.23
20250108 000000;0.7503;0.7626;0.6924;0.7282;510163.61
20250109 000000;0.7282;0.7565;0.7114;0.728;391433.33
20250110 000000;0.728;0.757;0.7092;0.7495;272676.25
20250111 000000;0.7495;0.7619;0.7297;0.7469;127245.06
20250112 000000;0.7469;0.7565;0.7148;0.7257;113659.06
20250113 000000;0.7257;0.7437;0.6549;0.7013;609291.93
20250114 000000;0.7013;0.7355;0.694;0.7315;224340.23
20250115 000000;0.7315;0.7835;0.7138;0.7815;366105.26
20250116 000000;0.7815;0.7847;0.751;0.7598;357409.61
20250117 000000;0.7598;0.8156;0.7598;0.8094;331919.89
20250118 000000;0.8094;0.8134;0.7327;0.7491;369935.43
20250119 000000;0.7491;0.7681;0.6752;0.6862;717946.55
20250120 000000;0.6862;0.7569;0.6617;0.704;2109532.75
20250121 000000;0.704;0.7356;0.6733;0.72;1065489.25
20250122 000000;0.72;0.7248;0.6879;0.6906;597005.84
20250123 000000;0.6906;0.7074;0.6675;0.6907;411455.08
20250124 000000;0.6907;0.7097;0.6653;0.6733;256496.08
20250125 000000;0.6733;0.6902;0.6655;0.6835;218556.15
20250126 000000;0.6835;0.6965;0.6627;0.6627;193299.65
20250127 000000;0.6627;0.6656;0.6029;0.6415;447942.34
20250128 000000;0.6415;0.65;0.5993;0.6054;230380.09
20250129 000000;0.6054;0.6398;0.6005;0.6195;248550.49
20250130 000000;0.6195;0.6556;0.6143;0.6428;181229.44
20250131 000000;0.6428;0.6729;0.6312;0.6485;1635216.24
20250201 000000;0.6485;0.6599;0.5952;0.6005;2423621.38
20250202 000000;0.6005;0.6116;0.4904;0.5189;6299206.04
20250203 000000;0.5189;0.5397;0.3922;0.5336;12029436.88
20250204 000000;0.5336;0.5431;0.4784;0.4952;6413727.35
20250205 000000;0.4952;0.511;0.4825;0.4878;3170118.13
20250206 000000;0.4878;0.5012;0.4651;0.4702;4122681.59
20250207 000000;0.4702;0.5027;0.4637;0.4769;3276163.15
20250208 000000;0.4769;0.5046;0.4714;0.5012;3195246.39
20250209 000000;0.5012;0.5149;0.4775;0.4967;2502869.76
20250210 000000;0.4967;0.5157;0.4814;0.5109;2838490.22
20250211 000000;0.5109;0.5345;0.5022;0.5092;2780440.12
20250212 000000;0.5092;0.5391;0.4883;0.5346;3679062.2
20250213 000000;0.5346;0.5397;0.5107;0.5229;2191903.05
20250214 000000;0.5229;0.5416;0.5194;0.5299;2197444.3
20250215 000000;0.5299;0.5344;0.5132;0.5156;1188092.43
20250216 000000;0.5156;0.5302;0.5095;0.5147;1885579.3
20250217 000000;0.5147;0.5348;0.5075;0.5202;2429480.14
20250218 000000;0.5202;0.5228;0.4845;0.5013;2922480.39
20250219 000000;0.5013;0.5214;0.4934;0.5213;2240631.42
20250220 000000;0.5213;0.5362;0.518;0.5348;2347828.32
20250221 000000;0.5348;0.5561;0.5091;0.5152;3613514.02
20250222 000000;0.5152;0.534;0.5126;0.5304;1760839.39
20250223 000000;0.5304;0.533;0.5132;0.5209;1886383.17
20250224 000000;0.5209;0.5226;0.4617;0.4685;5873158.9
20250225 000000;0.4685;0.4778;0.4413;0.4715;9691907.28
20250226 000000;0.4715;0.481;0.4541;0.4704;4647774.69
20250227 000000;0.4704;0.4958;0.4665;0.4835;3618898.7
20250228 000000;0.4835;0.485;0.4437;0.4807;5957570.5
20250301 000000;0.4807;0.4863;0.4611;0.4725;2791707.31
