20230805 000000;1;1.669;0.405;0.423;156877.6
20230806 000000;0.423;4.998;0.422;1.115;130356.53
20230807 000000;1.115;1.6;0.668;0.95;73996.67
20230808 000000;0.95;1.09;0.736;0.737;26873.6
20230809 000000;0.737;1;0.737;0.815;11763.01
20230810 000000;0.815;0.95;0.691;0.799;8664.12
20230811 000000;0.799;0.869;0.62;0.74;7692.03
20230812 000000;0.74;0.805;0.676;0.71;4748.13
20230813 000000;0.71;0.8;0.69;0.723;5001.89
20230814 000000;0.723;3;0.62;0.915;48454.27
20230815 000000;0.915;2;0.881;1.318;8780.74
20230816 000000;1.318;2.55;1.318;2;8714.88
20230817 000000;2;2.13;1.476;1.666;6791.81
20230818 000000;1.666;2.5;1.489;2.225;5434.16
20230819 000000;2.225;2.8;2.154;2.785;1454.25
20230820 000000;2.785;2.8;2.496;2.789;294.85
20230821 000000;2.789;2.792;2.517;2.706;63424.51
20230822 000000;2.706;2.738;2.701;2.734;85940.34
20230823 000000;2.734;2.8;2.519;2.683;81575.19
20230824 000000;2.683;2.777;2.613;2.737;89092.88
20230825 000000;2.737;2.757;1.922;2.168;82801.79
20230826 000000;2.168;2.378;2.005;2.255;75803.59
20230827 000000;2.255;2.374;1.905;2.017;87768.52
20230828 000000;2.017;4.734;1.5;2.649;109392.41
20230829 000000;2.649;8;2.6;3.735;104600.83
20230830 000000;3.735;5.163;3.7;4.302;89674.09
20230831 000000;4.302;4.468;3.95;4.23;89229.86
20230901 000000;4.23;4.254;3.5;3.982;87440.48
20230902 000000;3.982;4.19;3.4;3.433;89760.18
20230903 000000;3.433;4.073;3.351;3.671;89147.08
20230904 000000;3.671;4.517;3.301;3.425;14607.68
20230905 000000;3.425;3.747;3.101;3.101;530.75
20230906 000000;3.101;3.762;3.001;3.354;262.41
20230907 000000;3.354;3.354;3.071;3.073;161.79
20230908 000000;3.073;3.79;3.072;3.409;51929.37
20230909 000000;3.409;3.435;3.073;3.384;89911.93
20230910 000000;3.384;3.43;3.101;3.367;88582.03
20230911 000000;3.367;3.398;3.103;3.269;51091.51
20230912 000000;3.269;3.295;3.101;3.101;6685.5
20230913 000000;3.101;3.148;2.8;2.8;523.29
20230914 000000;2.8;2.8;2.4;2.4;183.53
20230915 000000;2.4;2.4;1.71;1.71;3012.23
20230916 000000;1.71;1.823;1.476;1.476;1399.41
20230917 000000;1.476;1.524;1.288;1.288;638.68
20230918 000000;1.288;2.993;1.288;1.78;3582.72
20230919 000000;1.78;1.78;1.605;1.605;583.62
20230920 000000;1.605;1.619;1.503;1.503;164.25
20230921 000000;1.503;1.605;1.503;1.53;254.15
20230922 000000;1.53;1.549;1.45;1.45;1835.86
20230923 000000;1.45;1.517;1.45;1.517;31.28
20230924 000000;1.517;1.522;1.451;1.522;417.3
20230925 000000;1.522;1.522;1.4;1.401;364.27
20230926 000000;1.401;1.43;1.401;1.402;117.37
20230927 000000;1.402;1.402;1.371;1.371;173.07
20230928 000000;1.371;1.371;1.201;1.201;1115.26
20230929 000000;1.201;1.201;1.201;1.201;106.21
20230930 000000;1.201;1.201;1.201;1.201;0
20231001 000000;1.201;1.222;1.201;1.221;122.63
20231002 000000;1.221;1.221;0.797;0.85;1183.59
20231003 000000;0.85;1.4;0.85;1.1;10408.84
20231004 000000;1.1;1.1;0.93;0.954;1101.63
20231005 000000;0.954;0.965;0.881;0.959;312.16
20231006 000000;0.959;0.959;0.9;0.92;92.12
20231007 000000;0.92;0.959;0.89;0.959;79.19
20231008 000000;0.959;0.959;0.91;0.959;55.89
20231009 000000;0.959;0.959;0.959;0.959;0
20231010 000000;0.959;1;0.891;0.999;147.98
20231011 000000;0.999;1.029;0.999;1.029;51.37
20231012 000000;1.029;1.043;1.029;1.035;370.65
20231013 000000;1.035;1.045;0.89;0.89;589.56
20231014 000000;0.89;1.006;0.89;0.999;11321.74
20231015 000000;0.999;1.028;0.952;0.957;5151.33
20231016 000000;0.957;0.98;0.957;0.9701;37.06
20231017 000000;0.9701;0.9703;0.7526;0.7526;1733.85
20231018 000000;0.7526;0.9242;0.7526;0.9242;242.28
20231019 000000;0.9242;0.93;0.9;0.9;124.96
20231020 000000;0.9;0.9;0.9;0.9;0
20231021 000000;0.9;0.9;0.87;0.8999;145.71
20231022 000000;0.8999;0.8999;0.87;0.87;44.75
20231023 000000;0.87;0.9499;0.8502;0.9499;22.94
20231024 000000;0.9499;0.9499;0.8318;0.87;11554.37
20231025 000000;0.87;1.1021;0.836;1.1021;10018.21
20231026 000000;1.1021;1.1631;0.93;0.93;428.61
20231027 000000;0.93;0.93;0.93;0.93;0
20231028 000000;0.93;0.93;0.93;0.93;0
20231029 000000;0.93;0.9301;0.9106;0.9106;35.27
20231030 000000;0.9106;0.9106;0.9106;0.9106;0
20231031 000000;0.9106;0.9106;0.9105;0.9105;74.18
20231101 000000;0.9105;1;0.91;0.9105;99.82
20231102 000000;0.9105;1.9999;0.9103;1.275;59454.94
20231103 000000;1.275;2.2003;1.0128;1.3247;115875.14
20231104 000000;1.3247;1.7168;1.2208;1.409;166019.68
20231105 000000;1.409;2.1725;1.2504;1.3232;29268.8
20231106 000000;1.3232;1.5971;1.2;1.3258;71208.2
20231107 000000;1.3258;1.5973;1.1099;1.1264;52249.6
20231108 000000;1.1264;1.5339;1.1136;1.4874;77031.69
20231109 000000;1.4874;1.4949;1.2092;1.22;78703.4
20231110 000000;1.22;1.2453;1.17;1.2;1669.37
20231111 000000;1.2;1.3769;1.17;1.221;57284.54
20231112 000000;1.221;1.2571;1.1279;1.1718;57433.79
20231113 000000;1.1718;1.1718;1.1102;1.1547;30978.81
20231114 000000;1.1547;1.157;1;1.0004;72216.37
20231115 000000;1.0004;1.17;1.0001;1.1042;69023.82
20231116 000000;1.1042;1.1696;1.0006;1.0575;58493.17
20231117 000000;1.0575;1.165;1.0012;1.0692;25837.8
20231118 000000;1.0692;1.121;1.0089;1.0465;42809.29
20231119 000000;1.0465;1.0566;1.0295;1.0545;46089.56
20231120 000000;1.0545;1.1599;1.0295;1.0881;41522.18
20231121 000000;1.0881;1.1281;0.9111;0.9513;15225.81
20231122 000000;0.9513;1.0105;0.928;0.9664;1257.14
20231123 000000;0.9664;0.9664;0.8036;0.8036;251.04
