20250101 000000;0.3847;0.3847;0.3489;0.3596;401024.74
20250102 000000;0.3596;0.3681;0.3442;0.364;377543.14
20250103 000000;0.364;0.379;0.3506;0.3777;319125.07
20250104 000000;0.3777;0.409;0.3639;0.3973;675806.49
20250105 000000;0.3973;0.683;0.394;0.6028;3865442.44
20250106 000000;0.6028;0.6635;0.5115;0.662;1681058.55
20250107 000000;0.662;0.6911;0.5724;0.6019;1859424.75
20250108 000000;0.6019;0.6329;0.5391;0.5668;956888.61
20250109 000000;0.5668;0.5829;0.4917;0.5047;729569.96
20250110 000000;0.5047;0.5196;0.4614;0.4934;547384.42
20250111 000000;0.4934;0.6229;0.4934;0.5363;1372338.42
20250112 000000;0.5363;0.5734;0.5113;0.5192;1025184.47
20250113 000000;0.5192;0.5542;0.4568;0.505;1147019.14
20250114 000000;0.505;0.5124;0.4745;0.51;325082.03
20250115 000000;0.51;0.5125;0.4794;0.5108;268489.54
20250116 000000;0.5108;0.5218;0.4788;0.4947;300947.82
20250117 000000;0.4947;0.5302;0.466;0.5265;631677.12
20250118 000000;0.5265;0.5265;0.4698;0.4777;218928.17
20250119 000000;0.4777;0.4801;0.4;0.4076;287206.32
20250120 000000;0.4076;0.4322;0.3899;0.4039;328252.22
20250121 000000;0.4039;0.4113;0.3797;0.4042;291711.57
20250122 000000;0.4042;0.409;0.3882;0.3971;192437.88
20250123 000000;0.3971;0.4034;0.3775;0.3901;297214.72
20250124 000000;0.3901;0.495;0.3901;0.4827;1116792.27
20250125 000000;0.4827;0.4869;0.4295;0.4378;612331.83
20250126 000000;0.4378;0.4378;0.4039;0.407;501499.24
20250127 000000;0.407;0.4673;0.3919;0.4157;732899.15
20250128 000000;0.4157;0.434;0.3922;0.4007;450990.46
20250129 000000;0.4007;0.425;0.3924;0.411;609835.5
20250130 000000;0.411;0.4274;0.4;0.4191;680445.48
20250131 000000;0.4191;0.4191;0.3933;0.4001;643518.45
20250201 000000;0.4001;0.4001;0.3711;0.3743;414455.77
20250202 000000;0.3743;0.3892;0.3106;0.3277;305085.5
20250203 000000;0.3277;0.381;0.2501;0.349;1036128.27
20250204 000000;0.349;0.349;0.3112;0.3235;308409.53
20250205 000000;0.3235;0.3338;0.3076;0.3121;257585.99
20250206 000000;0.3121;0.3177;0.2934;0.2974;303837.92
20250207 000000;0.2974;0.3163;0.2834;0.2958;417740.96
20250208 000000;0.2958;0.3102;0.2893;0.3101;235382.46
20250209 000000;0.3101;0.3649;0.3043;0.3336;354760.33
20250210 000000;0.3336;0.3336;0.3161;0.3261;254106.36
20250211 000000;0.3261;0.3311;0.303;0.3093;335918.71
20250212 000000;0.3093;0.3473;0.3072;0.3266;434837.18
20250213 000000;0.3266;0.3276;0.3063;0.314;181285.73
20250214 000000;0.314;0.3305;0.3123;0.3235;284562.97
20250215 000000;0.3235;0.363;0.316;0.3421;615833.69
20250216 000000;0.3421;0.3648;0.3223;0.3311;490511.29
20250217 000000;0.3311;0.3336;0.3145;0.3281;218526.44
20250218 000000;0.3281;0.3546;0.3156;0.3366;566981.86
20250219 000000;0.3366;0.3372;0.3264;0.3362;201719.07
20250220 000000;0.3362;0.3447;0.3302;0.3364;2798971.85
20250221 000000;0.3364;0.3459;0.3202;0.3414;8344973.95
20250222 000000;0.3414;0.3485;0.3335;0.348;7278502.33
20250223 000000;0.348;0.348;0.3363;0.3414;4610257.17
20250224 000000;0.3414;0.3416;0.2927;0.2932;5360064.41
20250225 000000;0.2932;0.296;0.2701;0.2904;10140748.59
20250226 000000;0.2904;0.2942;0.273;0.2843;5551735.43
20250227 000000;0.2843;0.292;0.2795;0.2864;4624719.15
20250228 000000;0.2864;0.287;0.2586;0.2821;8586516.53
20250301 000000;0.2821;0.2952;0.2775;0.2901;10615131.87
20250302 000000;0.2901;0.32;0.2875;0.3074;26308082.32
20250303 000000;0.3074;0.3176;0.2634;0.2694;10559898.92
20250304 000000;0.2694;0.2707;0.24;0.2603;8722640.72
20250305 000000;0.2603;0.2704;0.2569;0.2699;5070441.31
20250306 000000;0.2699;0.277;0.2611;0.2632;3585425.98
20250307 000000;0.2632;0.2726;0.248;0.2635;5808721.55
20250308 000000;0.2635;0.265;0.2567;0.2616;2467020.62
20250309 000000;0.2616;0.2677;0.2265;0.2299;7924109.57
20250310 000000;0.2299;0.2425;0.2141;0.2219;6960892.15
20250311 000000;0.2219;0.24;0.2071;0.2353;8242694.25
20250312 000000;0.2353;0.2439;0.2289;0.2399;4479301.91
20250313 000000;0.2399;0.2464;0.2281;0.2369;8380758.33
20250314 000000;0.2369;0.2489;0.2345;0.2466;6512199.67
20250315 000000;0.2466;0.2509;0.2444;0.2497;2685379.69
20250316 000000;0.2497;0.2521;0.2352;0.2365;4035082.51
20250317 000000;0.2365;0.2481;0.2353;0.2454;6194320.87
20250318 000000;0.2454;0.2514;0.237;0.2456;9503560.19
20250319 000000;0.2456;0.2501;0.2427;0.2494;6317187.3
20250320 000000;0.2494;0.2496;0.2422;0.2456;2876944.21
20250321 000000;0.2456;0.2493;0.234;0.2368;6184395.22
