20250101 000000;0.3661;0.3854;0.3565;0.3829;80384.3
20250102 000000;0.3829;0.4057;0.3829;0.3961;125755.76
20250103 000000;0.3961;0.4151;0.391;0.411;125314.82
20250104 000000;0.411;0.4139;0.3978;0.4114;116857.98
20250105 000000;0.4114;0.4161;0.4035;0.413;70452.81
20250106 000000;0.413;0.4246;0.4018;0.4096;332772.91
20250107 000000;0.4096;0.4169;0.3625;0.3627;245446.8
20250108 000000;0.3627;0.3686;0.3395;0.3557;137319.99
20250109 000000;0.3557;0.3612;0.3407;0.3495;145886.78
20250110 000000;0.3495;0.362;0.3426;0.3531;91468.33
20250111 000000;0.3531;0.3585;0.3463;0.3513;95792.73
20250112 000000;0.3513;0.3544;0.3409;0.3474;57953.51
20250113 000000;0.3474;0.3564;0.3117;0.3352;206059.01
20250114 000000;0.3352;0.3515;0.3328;0.3492;55164.76
20250115 000000;0.3492;0.3851;0.3476;0.3836;249584.66
20250116 000000;0.3836;0.3944;0.3729;0.3861;217251.15
20250117 000000;0.3861;0.4012;0.38;0.3984;148491.6
20250118 000000;0.3984;0.4002;0.3645;0.3715;50313
20250119 000000;0.3715;0.3838;0.3218;0.3258;127319.69
20250120 000000;0.3258;0.3562;0.3117;0.328;64393.49
20250121 000000;0.328;0.3477;0.3109;0.3406;153756.5
20250122 000000;0.3406;0.347;0.3361;0.3408;111499.01
20250123 000000;0.3408;0.3418;0.3219;0.3314;81037.34
20250124 000000;0.3314;0.3442;0.3201;0.3318;121889.42
20250125 000000;0.3318;0.3511;0.3277;0.3378;111490.55
20250126 000000;0.3378;0.3698;0.3376;0.346;213452.25
20250127 000000;0.346;0.3468;0.3052;0.3193;379501.05
20250128 000000;0.3193;0.3258;0.293;0.2963;136568.22
20250129 000000;0.2963;0.316;0.2948;0.3074;101205.97
20250130 000000;0.3074;0.3201;0.3045;0.3105;108245.16
20250131 000000;0.3105;0.324;0.304;0.3085;87668.28
20250201 000000;0.3085;0.313;0.2787;0.2809;278113.63
20250202 000000;0.2809;0.2862;0.2251;0.2364;385255.05
20250203 000000;0.2364;0.2418;0.1753;0.2387;1092420.45
20250204 000000;0.2387;0.2416;0.2151;0.2267;722043.54
20250205 000000;0.2267;0.2343;0.2179;0.2212;519271.94
20250206 000000;0.2212;0.2271;0.2035;0.2054;132705.52
20250207 000000;0.2054;0.223;0.1974;0.2049;72953.92
20250208 000000;0.2049;0.2194;0.2031;0.2184;66779.44
20250209 000000;0.2184;0.2261;0.2091;0.2187;4332442.99
20250210 000000;0.2187;0.2279;0.2096;0.2279;2939214.42
20250211 000000;0.2279;0.2495;0.2209;0.2251;5598662.23
20250212 000000;0.2251;0.2456;0.2119;0.2422;6443134.74
20250213 000000;0.2422;0.246;0.2297;0.2371;5789917.36
20250214 000000;0.2371;0.2498;0.2345;0.2438;4292480.17
20250215 000000;0.2438;0.2525;0.2356;0.238;4257254.36
20250216 000000;0.238;0.244;0.234;0.2388;2306055.32
20250217 000000;0.2388;0.248;0.2336;0.2397;3831170.92
20250218 000000;0.2397;0.2415;0.2218;0.2299;6342809.14
20250219 000000;0.2299;0.2363;0.226;0.2334;1956366.75
20250220 000000;0.2334;0.2509;0.2334;0.2505;5339111.35
20250221 000000;0.2505;0.2655;0.2368;0.242;4253248.08
20250222 000000;0.242;0.2586;0.241;0.2534;5912244.1
20250223 000000;0.2534;0.2542;0.2407;0.2449;3222585.05
20250224 000000;0.2449;0.2464;0.2117;0.2127;4321139.93
20250225 000000;0.2127;0.2178;0.1969;0.2146;6869845.39
20250226 000000;0.2146;0.224;0.2096;0.2188;2989555.1
20250227 000000;0.2188;0.2314;0.2163;0.2233;3990950.07
20250228 000000;0.2233;0.2257;0.2019;0.2245;6050775.55
20250301 000000;0.2245;0.2279;0.207;0.2151;4551387.01
20250302 000000;0.2151;0.2423;0.2108;0.2423;4194334.96
20250303 000000;0.2423;0.2426;0.1964;0.2001;7590748.96
20250304 000000;0.2001;0.2019;0.1784;0.1926;10676881.2
20250305 000000;0.1926;0.214;0.1889;0.2092;4375823.94
20250306 000000;0.2092;0.2139;0.1983;0.2011;3423078.17
20250307 000000;0.2011;0.2074;0.1898;0.1962;3799062.64
20250308 000000;0.1962;0.2019;0.1917;0.1986;5527079.52
20250309 000000;0.1986;0.1998;0.1699;0.1725;5453644.85
20250310 000000;0.1725;0.1846;0.1574;0.1593;4734100.42
20250311 000000;0.1593;0.1776;0.15;0.1732;4377887.14
20250312 000000;0.1732;0.183;0.1649;0.1824;3351199.44
20250313 000000;0.1824;0.1863;0.1728;0.1803;2694524.65
20250314 000000;0.1803;0.1903;0.1797;0.1837;4319735.79
20250315 000000;0.1837;0.1952;0.1821;0.1939;2980285.89
20250316 000000;0.1939;0.2002;0.1815;0.1832;4569108.47
20250317 000000;0.1832;0.1951;0.1826;0.1928;2447672.43
20250318 000000;0.1928;0.1956;0.1829;0.1905;5023653.11
20250319 000000;0.1905;0.1991;0.1886;0.196;3793127.14
20250320 000000;0.196;0.1973;0.1837;0.185;2738229.89
20250321 000000;0.185;0.1916;0.1807;0.188;2599437.04
20250322 000000;0.188;0.1959;0.188;0.1924;1476859.87
20250323 000000;0.1924;0.1957;0.1902;0.1953;1869268.64
