20230622 000000;0.9228;1.061;0.9228;1.0574;138349.43
20230623 000000;1.0574;1.1734;1.0573;1.0919;149002.07
20230624 000000;1.0919;1.1108;1.0727;1.1086;142008.48
20230625 000000;1.1086;1.3572;1.1086;1.2074;159323.86
20230626 000000;1.2074;1.3428;1.1393;1.1425;160822.49
20230627 000000;1.1425;1.1983;1.1389;1.1639;125612.77
20230628 000000;1.1639;1.1639;1.0701;1.0776;134294.16
20230629 000000;1.0776;1.0798;1.0407;1.0702;130735.66
20230630 000000;1.0702;1.095;1.0405;1.0635;132861.29
20230701 000000;1.0635;1.1325;1.041;1.1118;159642.51
20230702 000000;1.1118;1.1894;1.1117;1.1517;143235.98
20230703 000000;1.1517;1.1849;1.1385;1.1605;128388.65
20230704 000000;1.1605;1.1802;1.1385;1.18;136074.32
20230705 000000;1.18;1.2994;1.1743;1.2357;132193.02
20230706 000000;1.2357;1.3835;1.2357;1.2549;134831
20230707 000000;1.2549;1.2549;1.2033;1.2387;122525.78
20230708 000000;1.2387;1.2461;1.2095;1.2131;116783.22
20230709 000000;1.2131;1.2131;1.1669;1.1785;118159.19
20230710 000000;1.1785;1.1785;1.1145;1.1145;128997.33
20230711 000000;1.1145;1.1145;1.0688;1.0987;129949.72
20230712 000000;1.0987;1.136;1.0838;1.1292;130030.38
20230713 000000;1.1292;1.1621;1.0669;1.0987;129923.17
20230714 000000;1.0987;1.1118;1.0669;1.0763;125022.68
20230715 000000;1.0763;1.0911;1.0614;1.0716;127686.65
20230716 000000;1.0716;1.0829;1.0613;1.0829;127366.58
20230717 000000;1.0829;1.1044;1.0688;1.0763;125014.07
20230718 000000;1.0763;1.081;1.0433;1.0486;132246.9
20230719 000000;1.0486;1.0648;1.0394;1.0476;130506.76
20230720 000000;1.0476;1.0686;1.0273;1.0482;131413.87
20230721 000000;1.0482;1.0483;1.0332;1.0342;304877.91
20230722 000000;1.0342;1.0508;1.0297;1.0456;110835.96
20230723 000000;1.0456;1.0603;1.0443;1.049;131407.06
20230724 000000;1.049;1.0508;1.0322;1.0419;152302.71
20230725 000000;1.0419;1.0431;1.0048;1.0099;110278.08
20230726 000000;1.0099;1.0099;0.9695;0.9743;116801.81
20230727 000000;0.9743;0.9869;0.9522;0.9576;126484.85
20230728 000000;0.9576;0.9576;0.9427;0.9461;169523.34
20230729 000000;0.9461;0.9461;0.9298;0.9317;140644.36
20230730 000000;0.9317;0.9353;0.9233;0.9244;141334.84
20230731 000000;0.9244;0.9244;0.8943;0.8993;146257.38
20230801 000000;0.8993;0.9019;0.8793;0.8855;116309.2
20230802 000000;0.8855;0.8855;0.8706;0.875;74203.48
20230803 000000;0.875;0.875;0.8628;0.8628;46195.81
20230804 000000;0.8628;0.8674;0.8491;0.8551;60260.97
20230805 000000;0.8551;0.8551;0.8383;0.8483;61924.66
20230806 000000;0.8483;0.8551;0.8384;0.8465;95103.75
20230807 000000;0.8465;0.8465;0.8088;0.8144;88570.47
20230808 000000;0.8144;0.8199;0.7919;0.8084;146256.62
20230809 000000;0.8084;0.8199;0.8033;0.8033;95073.32
20230810 000000;0.8033;0.8238;0.8033;0.8089;79262.35
20230811 000000;0.8089;0.8404;0.8011;0.8371;156415.5
20230812 000000;0.8371;0.8505;0.8339;0.8472;118867.74
20230813 000000;0.8472;0.9917;0.8472;0.9027;157144.08
20230814 000000;0.9027;0.947;0.8849;0.9246;175271.89
20230815 000000;0.9246;0.9246;0.8602;0.8621;176230.31
20230816 000000;0.8621;0.8621;0.8234;0.8268;135662.97
20230817 000000;0.8268;0.8268;0.7542;0.7625;162485.87
