20260101 000000;4.157;4.555;4.157;4.514;146843.26
20260102 000000;4.514;4.598;4.461;4.569;109388.47
20260103 000000;4.569;4.681;4.464;4.613;101917.23
20260104 000000;4.613;4.965;4.588;4.752;160467.53
20260105 000000;4.752;4.853;4.581;4.806;141216.63
20260106 000000;4.806;4.955;4.537;4.792;149957.03
20260107 000000;4.792;4.805;4.522;4.575;140396.19
20260108 000000;4.575;4.608;4.358;4.47;125489.06
20260109 000000;4.47;4.631;4.434;4.533;80471.68
20260110 000000;4.533;4.597;4.445;4.516;47394.44
20260111 000000;4.516;4.575;4.323;4.387;61434.43
20260112 000000;4.387;4.521;4.203;4.237;93255.32
20260113 000000;4.237;5.804;4.233;5.499;516176.63
20260114 000000;5.499;5.578;4.959;5.057;372632.28
20260115 000000;5.057;5.656;4.926;5.185;287167.72
20260116 000000;5.185;5.274;4.989;5.166;151243.96
20260117 000000;5.166;5.25;5.102;5.151;78534.46
20260118 000000;5.151;5.244;4.875;4.884;103824.09
20260119 000000;4.884;4.884;4.327;4.428;282507.97
20260120 000000;4.428;4.479;4.054;4.114;178701.35
20260121 000000;4.114;4.26;4.002;4.096;130626.66
20260122 000000;4.096;4.195;3.983;4.079;78284
20260123 000000;4.079;4.188;3.973;4.009;141096.11
20260124 000000;4.009;4.108;3.908;4.053;74517.2
20260125 000000;4.053;4.078;3.69;3.773;135820.53
20260126 000000;3.773;3.976;3.753;3.922;100641.89
20260127 000000;3.922;3.991;3.829;3.97;76346.99
20260128 000000;3.97;3.975;3.839;3.917;80722.2
20260129 000000;3.917;3.923;3.586;3.733;160421.22
20260130 000000;3.733;3.766;3.493;3.651;167880.96
20260131 000000;3.651;3.651;2.731;3.088;351961.72
20260201 000000;3.088;3.24;2.988;3.063;164511.79
20260202 000000;3.063;3.186;2.973;3.098;151285.89
20260203 000000;3.098;3.262;2.947;3.13;179390.82
20260204 000000;3.13;3.25;3.037;3.093;149665.03
20260205 000000;3.093;3.143;2.491;2.499;328258.12
20260206 000000;2.499;2.987;2.181;2.908;313907.37
20260207 000000;2.908;2.982;2.768;2.905;175493.45
20260208 000000;2.905;2.912;2.761;2.811;90839.68
20260209 000000;2.811;2.853;2.669;2.789;103563.41
20260210 000000;2.789;2.809;2.679;2.727;89378.94
20260211 000000;2.727;2.778;2.577;2.704;143936.84
20260212 000000;2.704;2.863;2.68;2.791;137043.95
20260213 000000;2.791;2.89;2.714;2.852;94375.88
20260214 000000;2.852;3.014;2.843;2.964;110329.82
20260215 000000;2.964;2.972;2.738;2.779;155228.92
20260216 000000;2.779;2.868;2.745;2.819;64706.48
20260217 000000;2.819;2.838;2.74;2.784;66192.22
20260218 000000;2.784;2.813;2.632;2.648;89932.98
20260219 000000;2.648;2.685;2.528;2.588;90877.04
20260220 000000;2.588;2.647;2.467;2.627;152605.51
20260221 000000;2.627;2.786;2.621;2.634;102021.39
20260222 000000;2.634;2.634;2.436;2.504;94535.43
20260223 000000;2.504;2.51;2.309;2.323;158315.95
20260224 000000;2.323;2.4;2.271;2.365;100984.74
20260225 000000;2.365;2.701;2.342;2.567;171811.93
20260226 000000;2.567;2.592;2.33;2.448;130174.21
20260227 000000;2.448;2.613;2.378;2.437;147392.47
20260228 000000;2.437;2.471;2.236;2.447;166612.13
20260301 000000;2.447;2.545;2.315;2.386;117127.31
20260302 000000;2.386;2.578;2.345;2.474;185340.09
20260303 000000;2.474;2.531;2.381;2.478;110184.53
20260304 000000;2.478;2.63;2.452;2.552;179033.35
20260305 000000;2.552;2.594;2.443;2.495;104153.13
20260306 000000;2.495;2.572;2.364;2.416;119875.64
20260307 000000;2.416;2.428;2.316;2.337;81665.62
20260308 000000;2.337;2.376;2.282;2.324;94325.12
20260309 000000;2.324;2.459;2.318;2.372;116935.19
20260310 000000;2.372;2.495;2.366;2.402;110830.36
20260311 000000;2.402;2.577;2.368;2.55;98162.06
20260312 000000;2.55;2.607;2.449;2.576;186956.31
20260313 000000;2.576;2.684;2.505;2.539;188903.05
20260314 000000;2.539;2.584;2.491;2.521;88193.73
20260315 000000;2.521;2.609;2.507;2.583;109064
20260316 000000;2.583;2.808;2.572;2.777;242526.93
20260317 000000;2.777;2.797;2.665;2.69;122441.2
20260318 000000;2.69;2.736;2.481;2.527;125232.47
20260319 000000;2.527;2.563;2.424;2.465;123878.6
20260320 000000;2.465;2.513;2.427;2.458;81528.39
20260321 000000;2.458;2.5;2.335;2.358;86467.2
20260322 000000;2.358;2.398;2.268;2.308;96964.95
20260323 000000;2.308;2.436;2.273;2.401;137123.36
20260324 000000;2.401;2.417;2.345;2.402;75478.55
20260325 000000;2.402;2.455;2.391;2.42;69213.32
20260326 000000;2.42;2.423;2.275;2.301;67640.46
20260327 000000;2.301;2.324;2.171;2.181;99335.94
20260328 000000;2.181;2.265;2.148;2.197;71721.66
20260329 000000;2.197;2.23;2.099;2.152;91656.91
20260330 000000;2.152;2.289;2.152;2.209;110127.77
20260331 000000;2.209;2.323;2.2;2.322;113832.23
20260401 000000;2.322;2.372;2.303;2.312;109300.2
20260402 000000;2.312;2.342;2.214;2.273;139947.03
20260403 000000;2.273;2.494;2.262;2.465;169316.02
20260404 000000;2.465;2.516;2.433;2.515;90348.87
20260405 000000;2.515;2.521;2.308;2.355;157063.97
20260406 000000;2.355;2.455;2.313;2.334;111143.62
20260407 000000;2.334;2.526;2.285;2.498;95334.99
20260408 000000;2.498;2.5;2.394;2.401;84886.53
20260409 000000;2.401;2.488;2.363;2.425;74445.21
20260410 000000;2.425;2.479;2.412;2.454;67122.14
20260411 000000;2.454;2.46;2.381;2.4;68163.08
20260412 000000;2.4;2.405;2.234;2.24;94576.63
20260413 000000;2.24;2.588;2.182;2.543;296960.38
20260414 000000;2.543;2.638;2.395;2.444;186411.23
20260415 000000;2.444;3.5;2.444;3.442;138091.99
20260416 000000;3.442;9.67;3.288;8.514;713358.03
20260417 000000;8.514;10.7;5.82;7.169;428445.63
20260418 000000;7.169;7.169;5.037;5.042;179003.52
20260419 000000;5.042;5.415;3.86;4.207;184282.84
20260420 000000;4.207;5.343;4.056;4.846;217872.05
20260421 000000;4.846;5.227;4.543;4.692;117729.17
20260422 000000;4.692;4.787;4.281;4.291;60693.76
20260423 000000;4.291;4.686;4.186;4.574;73098.65
20260424 000000;4.574;4.982;4.516;4.872;79048.66
20260425 000000;4.872;5.091;4.56;4.678;55499.81
20260426 000000;4.678;4.946;4.556;4.585;62733.54
20260427 000000;4.585;4.68;4.132;4.397;34023.82
20260428 000000;4.397;4.569;4.246;4.461;69101.02
20260429 000000;4.461;4.49;4.131;4.285;21968.1
20260430 000000;4.285;4.453;4.238;4.371;22400.91
20260501 000000;4.371;4.554;4.275;4.468;55179.7
20260502 000000;4.468;6.422;4.455;5.476;135027.02
20260503 000000;5.476;5.546;4.869;5.386;64578.59
20260504 000000;5.386;5.533;5.03;5.043;35569.7
20260505 000000;5.043;5.284;4.938;5.206;33821.75
20260506 000000;5.206;5.643;4.98;5.517;52656.23
20260507 000000;5.517;5.536;5.069;5.137;48445.79
20260508 000000;5.137;5.728;5.116;5.629;46840.96
20260509 000000;5.629;5.916;5.39;5.522;35740.96
20260510 000000;5.522;5.622;5.099;5.343;27473.31
20260511 000000;5.343;5.366;4.86;4.907;38612.55
20260512 000000;4.907;4.919;4.54;4.646;26411.1
20260513 000000;4.646;4.844;4.441;4.561;37666.32
20260514 000000;4.561;4.716;4.497;4.687;22729.16
20260515 000000;4.687;4.771;4.26;4.284;25917.16
20260516 000000;4.284;4.362;4.097;4.281;17422.26
20260517 000000;4.281;4.392;3.91;4.097;20862.13
20260518 000000;4.097;4.235;4.013;4.199;21232.1
20260519 000000;4.199;4.23;4.044;4.055;21426.18
20260520 000000;4.055;4.305;4.029;4.241;17342.16
20260521 000000;4.241;4.381;4.099;4.316;20642.8
20260522 000000;4.316;4.393;3.957;3.994;15912.63
20260523 000000;3.994;4.177;3.733;4.024;24653.94
20260524 000000;4.024;4.067;3.856;3.946;25411.82
20260525 000000;3.946;4.288;3.941;4.078;24190.13
20260526 000000;4.078;4.164;3.943;4;30037.76
20260527 000000;4;4.155;3.88;3.989;18525.07
20260528 000000;3.989;4.025;3.304;3.453;32789.7
20260529 000000;3.453;3.509;3.243;3.292;23206.19
20260530 000000;3.292;3.572;3.276;3.437;34758
20260531 000000;3.437;3.48;3.291;3.452;25597.93
20260601 000000;3.452;4.034;3.446;4.034;38458.6
20260602 000000;4.034;4.1;3.257;3.347;31593.94
20260603 000000;3.347;3.766;3.342;3.563;20233.93
20260604 000000;3.563;3.626;3.144;3.329;22928.6
20260605 000000;3.329;3.356;2.774;2.972;26950.19
20260606 000000;2.972;3.017;2.728;2.934;24647.98
20260607 000000;2.934;3.077;2.849;2.978;30051.7
20260608 000000;2.978;3.29;2.88;3.067;21721.89
20260609 000000;3.067;3.186;2.968;3.115;25005.83
20260610 000000;3.115;3.42;2.971;3.156;29583.06
20260611 000000;3.156;3.311;3.07;3.238;26724.86
20260612 000000;3.238;3.533;3.225;3.364;31898.83
20260613 000000;3.364;3.482;3.337;3.358;21406.1
20260614 000000;3.358;3.443;3.237;3.407;22384.81
20260615 000000;3.407;3.647;3.313;3.383;37780.55
20260616 000000;3.383;3.6;3.3;3.427;22597.44
20260617 000000;3.427;3.489;3.136;3.192;23103.59
20260618 000000;3.192;3.24;2.968;3.068;21852.6
20260619 000000;3.068;3.652;3.028;3.541;36179.7
20260620 000000;3.541;3.561;3.264;3.414;21654.2
