20260520 173400;0.3612;0.3616;0.3606;0.3606;27.92
20260520 173500;0.3606;0.3606;0.3594;0.3594;23.6
20260520 173600;0.3594;0.3637;0.3594;0.3632;130.31
20260520 173700;0.3632;0.3634;0.3625;0.3625;144.01
20260520 173800;0.3625;0.3634;0.3625;0.3634;138.57
20260520 173900;0.3634;0.3634;0.3621;0.3621;222.93
20260520 174000;0.3621;0.3621;0.3615;0.3621;195.96
20260520 174100;0.3621;0.3621;0.3584;0.3584;297.21
20260520 174200;0.3584;0.3593;0.3584;0.3592;110.85
20260520 174300;0.3592;0.3606;0.3592;0.3606;99.86
20260520 174400;0.3606;0.3606;0.3598;0.3598;104.15
20260520 174500;0.3598;0.3604;0.3597;0.3604;119.02
20260520 174600;0.3604;0.3609;0.3602;0.3602;150.97
20260520 174700;0.3602;0.3616;0.3602;0.3616;130.15
20260520 174800;0.3616;0.3635;0.3616;0.3635;112.25
20260520 174900;0.3635;0.3636;0.3632;0.3636;52.48
20260520 175000;0.3636;0.3636;0.363;0.363;76.29
20260520 175100;0.363;0.3633;0.363;0.363;70.61
20260520 175200;0.363;0.363;0.3622;0.3629;78.49
20260520 175300;0.3629;0.3631;0.3629;0.363;94.13
20260520 175400;0.363;0.4236;0.3612;0.4236;4801.19
20260520 175500;0.4236;0.4445;0.3972;0.4026;1027.87
20260520 175600;0.4026;0.4026;0.3515;0.3632;6901.92
20260520 175700;0.3632;0.3671;0.3625;0.3625;137.61
20260520 175800;0.3625;0.3625;0.3561;0.3562;1486.76
20260520 175900;0.3562;0.3612;0.3562;0.361;80.82
20260520 180000;0.361;0.361;0.357;0.357;910.28
20260520 180100;0.357;0.3572;0.3565;0.3566;463.56
20260520 180200;0.3566;0.3568;0.3552;0.3568;324.51
20260520 180300;0.3568;0.3576;0.3567;0.3567;87.08
20260520 180400;0.3567;0.3567;0.3555;0.3555;356.08
20260520 180500;0.3555;0.3555;0.3538;0.3538;77.33
20260520 180600;0.3538;0.3547;0.3533;0.3547;291.84
20260520 180700;0.3547;0.3549;0.3502;0.3502;969.37
20260520 180800;0.3502;0.3503;0.3502;0.3502;52.31
20260520 180900;0.3502;0.3552;0.3502;0.3546;298.74
20260520 181000;0.3546;0.355;0.3546;0.355;90.71
20260520 181100;0.355;0.3552;0.3548;0.3552;103.71
20260520 181200;0.3552;0.3552;0.3548;0.3551;92.42
20260520 181300;0.3551;0.3555;0.3548;0.3548;116.14
20260520 181400;0.3548;0.3548;0.3546;0.3547;109.31
20260520 181500;0.3547;0.3565;0.3547;0.3565;120.42
20260520 181600;0.3565;0.3585;0.3565;0.3585;98.15
20260520 181700;0.3585;0.3585;0.3575;0.3575;117.88
20260520 181800;0.3575;0.3579;0.357;0.3579;85.3
20260520 181900;0.3579;0.3579;0.35;0.35;333.83
20260520 182000;0.35;0.3522;0.3498;0.3517;116.34
20260520 182100;0.3517;0.3517;0.3417;0.3417;602.72
20260520 182200;0.3417;0.3417;0.3381;0.3395;318.61
20260520 182300;0.3395;0.3395;0.3376;0.3376;358.44
20260520 182400;0.3376;0.3387;0.3376;0.3385;154.79
20260520 182500;0.3385;0.3393;0.3385;0.3393;142.37
20260520 182600;0.3393;0.3393;0.3374;0.3374;339.34
20260520 182700;0.3374;0.3374;0.3359;0.3369;509.7
20260520 182800;0.3369;0.3369;0.3359;0.3359;1407.89
20260520 182900;0.3359;0.3361;0.3346;0.3346;860.44
20260520 183000;0.3346;0.3366;0.3346;0.3361;59.06
20260520 183100;0.3361;0.3367;0.3355;0.3355;97.03
20260520 183200;0.3355;0.3355;0.3354;0.3355;159.86
20260520 183300;0.3355;0.3367;0.3353;0.3367;344.51
20260520 183400;0.3367;0.3367;0.3357;0.3357;167.35
20260520 183500;0.3357;0.3358;0.3353;0.3358;172.48
20260520 183600;0.3358;0.3392;0.3358;0.3392;153.19
20260520 183700;0.3392;0.3392;0.3374;0.3374;60.59
20260520 183800;0.3374;0.3381;0.3374;0.338;72.7
20260520 183900;0.338;0.3383;0.3345;0.3345;53.24
20260520 184000;0.3345;0.3356;0.3345;0.3356;81.06
20260520 184100;0.3356;0.3356;0.3353;0.3355;65.8
20260520 184200;0.3355;0.3357;0.3354;0.3357;68.95
20260520 184300;0.3357;0.3357;0.3352;0.3355;40.31
20260520 184400;0.3355;0.3355;0.3353;0.3354;37.91
20260520 184500;0.3354;0.3363;0.3354;0.3363;59.95
20260520 184600;0.3363;0.3386;0.3363;0.3363;179.26
20260520 184700;0.3363;0.3375;0.3363;0.3371;146.32
20260520 184800;0.3371;0.3377;0.3371;0.3374;181.67
20260520 184900;0.3374;0.3374;0.3361;0.3361;145.81
20260520 185000;0.3361;0.3364;0.3359;0.3364;137.82
20260520 185100;0.3364;0.3369;0.3363;0.3363;133.41
20260520 185200;0.3363;0.3363;0.334;0.3341;146.6
20260520 185300;0.3341;0.3353;0.3341;0.3353;83.47
20260520 185400;0.3353;0.3353;0.3306;0.3306;564.55
20260520 185500;0.3306;0.3306;0.3165;0.3165;2581.96
20260520 185600;0.3165;0.3188;0.315;0.3188;287.79
20260520 185700;0.3188;0.3204;0.3188;0.3204;63.58
20260520 185800;0.3204;0.3228;0.3195;0.3195;179.9
20260520 185900;0.3195;0.3228;0.3195;0.3228;117.69
20260520 190000;0.3228;0.3272;0.3228;0.3266;145.4
20260520 190100;0.3266;0.3279;0.3266;0.3279;116.18
20260520 190200;0.3279;0.3279;0.3272;0.3272;109.31
20260520 190300;0.3272;0.3276;0.3272;0.3272;142.37
20260520 190400;0.3272;0.3275;0.3272;0.3275;112.57
20260520 190500;0.3275;0.3276;0.3266;0.3266;154.4
20260520 190600;0.3266;0.3266;0.3245;0.3245;75.51
20260520 190700;0.3245;0.3245;0.3239;0.324;174.54
20260520 190800;0.324;0.324;0.3238;0.3238;97.5
20260520 190900;0.3238;0.3248;0.3238;0.3248;81.7
20260520 191000;0.3248;0.326;0.3248;0.326;80.82
20260520 191100;0.326;0.326;0.3248;0.3248;90.66
20260520 191200;0.3248;0.3251;0.3241;0.3251;83.5
20260520 191300;0.3251;0.3252;0.3244;0.3252;61.32
20260520 191400;0.3252;0.326;0.3252;0.3256;56.97
20260520 191500;0.3256;0.3256;0.3205;0.3216;517.2
20260520 191600;0.3216;0.3216;0.3209;0.321;218.4
20260520 191700;0.321;0.321;0.3208;0.3209;199.32
20260520 191800;0.3209;0.3224;0.3209;0.3224;173.98
