20240826 000000;0.3;0.8789;0.085;0.6764;595367.65
20240827 000000;0.6764;0.7205;0.6;0.6535;387456.49
20240828 000000;0.6535;0.6684;0.5046;0.5323;312357.27
20240829 000000;0.5323;0.673;0.5056;0.5923;400314.39
20240830 000000;0.5923;0.6454;0.4922;0.5336;193709.88
20240831 000000;0.5336;0.5587;0.4643;0.4998;187684.05
20240901 000000;0.4998;0.5085;0.3789;0.4311;338847.21
20240902 000000;0.4311;0.4379;0.365;0.4023;278253.49
20240903 000000;0.4023;0.4651;0.3301;0.362;386464.47
20240904 000000;0.362;0.3697;0.3012;0.3381;262336.86
20240905 000000;0.3381;0.3708;0.3038;0.3461;239233.9
20240906 000000;0.3461;0.3671;0.31;0.3232;281886.62
20240907 000000;0.3232;0.35;0.3202;0.3314;128329.46
20240908 000000;0.3314;0.353;0.3203;0.3525;135828.9
20240909 000000;0.3525;0.458;0.34;0.4018;337412.02
20240910 000000;0.4018;0.4423;0.3786;0.4241;208916.51
20240911 000000;0.4241;0.4295;0.3732;0.3881;175153.65
20240912 000000;0.3881;0.4386;0.3844;0.4173;113419.69
20240913 000000;0.4173;0.4596;0.3968;0.4069;150267.5
20240914 000000;0.4069;0.4113;0.3633;0.3723;86704.95
20240915 000000;0.3723;0.3987;0.335;0.3481;103681.86
20240916 000000;0.3481;0.3812;0.3333;0.3466;141830.89
20240917 000000;0.3466;0.3904;0.3395;0.3666;140153.66
20240918 000000;0.3666;0.3911;0.3495;0.3897;156279.35
20240919 000000;0.3897;0.46;0.3835;0.4379;238947.73
20240920 000000;0.4379;0.4982;0.4202;0.462;225873.65
20240921 000000;0.462;0.4698;0.4077;0.4365;136835.36
20240922 000000;0.4365;0.4563;0.4101;0.4246;87960.82
20240923 000000;0.4246;0.4671;0.4;0.4127;249309.92
20240924 000000;0.4127;0.4304;0.3652;0.3943;315357.39
20240925 000000;0.3943;0.4235;0.3585;0.3786;331956.72
20240926 000000;0.3786;0.4177;0.3694;0.4051;230634.31
20240927 000000;0.4051;0.4486;0.3751;0.4038;221859.52
20240928 000000;0.4038;0.4067;0.3679;0.3793;162649.45
20240929 000000;0.3793;0.4063;0.3602;0.3866;146942.42
20240930 000000;0.3866;0.3898;0.37;0.374;102194.63
20241001 000000;0.374;0.3819;0.3161;0.3183;273346.74
20241002 000000;0.3183;0.37;0.3082;0.3196;222287.08
20241003 000000;0.3196;0.3469;0.283;0.3032;345683.62
20241004 000000;0.3032;0.3178;0.2788;0.3127;175036.55
20241005 000000;0.3127;0.3276;0.2914;0.3007;148634.43
20241006 000000;0.3007;0.3135;0.2833;0.2966;270866.4
20241007 000000;0.2966;0.32;0.27;0.2808;243809.46
20241008 000000;0.2808;0.292;0.24;0.2638;277276.28
20241009 000000;0.2638;0.28;0.2522;0.2728;268118.71
20241010 000000;0.2728;0.3381;0.265;0.3052;323718.99
20241011 000000;0.3052;0.3245;0.2798;0.2966;227460.64
20241012 000000;0.2966;0.33;0.2866;0.2986;183231.54
20241013 000000;0.2986;0.3262;0.2905;0.2993;111767.31
20241014 000000;0.2993;0.3657;0.2961;0.3332;254639.43
20241015 000000;0.3332;0.3387;0.2949;0.3088;308444
20241016 000000;0.3088;0.3452;0.2821;0.293;358296.06
20241017 000000;0.293;0.314;0.268;0.2724;335856.56
20241018 000000;0.2724;0.3189;0.255;0.2845;561753.71
20241019 000000;0.2845;0.31;0.2756;0.2876;341722.68
