20240425 000000;1;3.57;1;2.633;93220.67
20240426 000000;2.633;2.74;2.194;2.229;51149.1
20240427 000000;2.229;2.326;2.111;2.206;59318.25
20240428 000000;2.206;2.454;2.126;2.133;38367.88
20240429 000000;2.133;2.269;1.94;2.062;133851.24
20240430 000000;2.062;2.12;1.679;1.787;101419.6
20240501 000000;1.787;1.942;1.672;1.893;100308.23
20240502 000000;1.893;1.9;1.793;1.82;92398.35
20240503 000000;1.82;1.854;1.763;1.783;69110.94
20240504 000000;1.783;1.853;1.717;1.74;36345.38
20240505 000000;1.74;1.74;1.679;1.7;16802.67
20240506 000000;1.7;1.762;1.646;1.69;112661.98
20240507 000000;1.69;1.774;1.668;1.719;61227.5
20240508 000000;1.719;1.784;1.636;1.644;90757.28
20240509 000000;1.644;1.742;1.639;1.71;44412.07
20240510 000000;1.71;1.731;1.646;1.701;13360.15
20240511 000000;1.701;1.773;1.696;1.735;8970.58
20240512 000000;1.735;1.862;1.735;1.835;18308.02
20240513 000000;1.835;1.951;1.788;1.946;26286.16
20240514 000000;1.946;2.017;1.883;1.944;75651.87
20240515 000000;1.944;2.028;1.903;2.017;95833.01
20240516 000000;2.017;2.335;2.014;2.19;101011.26
20240517 000000;2.19;2.55;2.135;2.212;160783.35
20240518 000000;2.212;2.356;2.171;2.247;106713.24
20240519 000000;2.247;2.304;2.154;2.219;37036.35
20240520 000000;2.219;2.313;2.152;2.273;62017.03
20240521 000000;2.273;2.302;2.179;2.298;48390.92
20240522 000000;2.298;2.438;2.254;2.38;101703.55
20240523 000000;2.38;2.5;2.257;2.348;168823.3
20240524 000000;2.348;2.391;2.16;2.21;104279.85
20240525 000000;2.21;2.294;2.148;2.218;126894.82
20240526 000000;2.218;2.223;2.152;2.164;90488.88
20240527 000000;2.164;2.191;2.028;2.135;13333.78
20240528 000000;2.135;2.428;2.09;2.227;18302.57
20240529 000000;2.227;2.293;2.118;2.17;14746.9
20240530 000000;2.17;2.272;2.17;2.222;5483.3
20240531 000000;2.222;2.233;2.065;2.132;143384.47
20240601 000000;2.132;2.145;2.06;2.076;41339.02
20240602 000000;2.076;2.116;2.043;2.062;15756.9
20240603 000000;2.062;2.085;1.909;1.948;20166.53
20240604 000000;1.948;2.014;1.928;1.984;17014.25
20240605 000000;1.984;1.996;1.917;1.992;10572.79
20240606 000000;1.992;1.992;1.89;1.898;15152.32
20240607 000000;1.898;1.927;1.721;1.797;28545
20240608 000000;1.797;1.829;1.709;1.77;136432.14
20240609 000000;1.77;1.799;1.725;1.781;148433.31
20240610 000000;1.781;1.792;1.705;1.749;170263.41
20240611 000000;1.749;1.761;1.644;1.649;98294.69
20240612 000000;1.649;1.734;1.609;1.666;125134.26
20240613 000000;1.666;1.669;1.53;1.549;80725.62
20240614 000000;1.549;1.614;1.524;1.604;95373.54
20240615 000000;1.604;1.608;1.579;1.605;39351.11
20240616 000000;1.605;1.638;1.584;1.597;32256.74
