20250101 000000;3.073;3.287;2.814;2.961;9349.83
20250102 000000;2.961;3.181;2.598;2.653;22601.87
20250103 000000;2.653;3.572;2.647;3.466;5518.39
20250104 000000;3.466;3.466;3.152;3.219;3355.06
20250105 000000;3.219;3.404;3.181;3.25;3084.07
20250106 000000;3.25;3.251;2.811;2.913;13146.84
20250107 000000;2.913;2.913;2.581;2.616;3865.4
20250108 000000;2.616;2.621;2.417;2.425;2571.65
20250109 000000;2.425;2.494;2.27;2.44;5015.21
20250110 000000;2.44;2.44;2.143;2.27;3804.15
20250111 000000;2.27;2.27;2.212;2.212;2706.92
20250112 000000;2.212;2.292;2.212;2.292;917.85
20250113 000000;2.292;2.47;2.065;2.122;5066.8
20250114 000000;2.122;2.34;2.099;2.255;2418.98
20250115 000000;2.255;2.255;2.101;2.178;2656.47
20250116 000000;2.178;2.274;2.101;2.23;4010.68
20250117 000000;2.23;2.258;2.099;2.152;3233.65
20250118 000000;2.152;2.152;1.918;2.093;7298.09
20250119 000000;2.093;2.098;1.45;1.562;7919.67
20250120 000000;1.562;1.883;1.49;1.663;7095.75
20250121 000000;1.663;1.685;1.459;1.615;58590.53
20250122 000000;1.615;1.782;1.586;1.777;43834.11
20250123 000000;1.777;1.818;1.521;1.524;44872.37
20250124 000000;1.524;1.552;1.391;1.395;46214.55
20250125 000000;1.395;1.54;1.356;1.477;40595.5
20250126 000000;1.477;1.495;1.441;1.495;39685.09
20250127 000000;1.495;2.025;1.284;1.416;71468.54
20250128 000000;1.416;1.43;1.33;1.376;45170.37
20250129 000000;1.376;1.427;1.27;1.342;45935.52
20250130 000000;1.342;1.676;1.34;1.513;50775.46
20250131 000000;1.513;2.587;1.456;1.594;58567.5
20250201 000000;1.594;1.952;1.49;1.577;44513.15
20250202 000000;1.577;1.691;1.532;1.59;40896.11
20250203 000000;1.59;1.592;1.25;1.334;46393.09
20250204 000000;1.334;1.391;1.255;1.359;41067.07
20250205 000000;1.359;1.397;1.255;1.299;40070.65
20250206 000000;1.299;1.732;1.247;1.336;49141.09
20250207 000000;1.336;1.4;1.31;1.31;41846.26
20250208 000000;1.31;1.358;1.283;1.288;40663.73
20250209 000000;1.288;1.326;1.27;1.301;44899.6
20250210 000000;1.301;1.344;1.272;1.295;41943.44
20250211 000000;1.295;1.311;1.189;1.192;42316.71
20250212 000000;1.192;1.282;1.14;1.245;46109.75
20250213 000000;1.245;1.296;1.219;1.233;46728.65
20250214 000000;1.233;1.28;1.215;1.218;48228.39
20250215 000000;1.218;1.255;1.214;1.216;49453.45
20250216 000000;1.216;1.273;1.179;1.18;44638.31
20250217 000000;1.18;1.224;1.148;1.16;47189.87
20250218 000000;1.16;1.172;1.089;1.102;46596.05
20250219 000000;1.102;1.152;1.054;1.143;49186.79
20250220 000000;1.143;1.167;1.083;1.148;47845.89
