20260520 175500;445.26;445.39;445.26;445.32;0.168
20260520 175600;445.32;445.88;445.32;445.88;0.15
20260520 175700;445.88;445.9;445.81;445.81;0.171
20260520 175800;445.81;445.9;445.81;445.9;0.116
20260520 175900;445.9;445.9;445.8;445.8;0.066
20260520 180000;445.8;445.8;445.67;445.67;0.064
20260520 180100;445.67;445.76;445.67;445.76;0.082
20260520 180200;445.76;445.82;445.74;445.74;0.06
20260520 180300;445.74;445.81;445.74;445.81;0.099
20260520 180400;445.81;445.86;445.81;445.81;0.085
20260520 180500;445.81;445.85;445.81;445.82;0.089
20260520 180600;445.82;445.82;445.75;445.81;0.097
20260520 180700;445.81;445.87;445.81;445.84;0.096
20260520 180800;445.84;445.88;445.81;445.88;0.106
20260520 180900;445.88;445.95;445.88;445.93;0.103
20260520 181000;445.93;445.96;445.92;445.92;0.012
20260520 181100;445.92;446.13;445.92;446.13;0.017
20260520 181200;446.13;446.13;446.05;446.06;0.014
20260520 181300;446.06;446.09;446.06;446.08;0.008
20260520 181400;446.08;446.08;445.98;445.98;0.008
20260520 181500;445.98;446.11;445.98;446.11;0.008
20260520 181600;446.11;446.11;446.08;446.11;0.029
20260520 181700;446.11;446.2;446.11;446.2;0.029
20260520 181800;446.2;446.2;446.13;446.13;0.029
20260520 181900;446.13;446.19;446.13;446.19;0.031
20260520 182000;446.19;446.19;446.09;446.09;0.06
20260520 182100;446.09;446.13;446.06;446.06;0.061
20260520 182200;446.06;446.09;446.04;446.04;0.068
20260520 182300;446.04;446.04;445.97;445.99;0.032
20260520 182400;445.99;446;445.97;445.97;0.029
20260520 182500;445.97;446.12;445.97;446.12;0.028
20260520 182600;446.12;446.24;446.12;446.24;0.03
20260520 182700;446.24;446.39;446.24;446.39;0.26
20260520 182800;446.39;446.39;446.27;446.27;0.121
20260520 182900;446.27;446.27;446.13;446.13;0.037
20260520 183000;446.13;446.13;446.03;446.06;0.05
20260520 183100;446.06;446.15;446.06;446.15;0.042
20260520 183200;446.15;446.3;446.15;446.3;0.049
20260520 183300;446.3;446.3;446.21;446.24;0.051
20260520 183400;446.24;446.29;446.24;446.29;0.047
20260520 183500;446.29;446.41;446.29;446.41;0.045
20260520 183600;446.41;446.42;446.33;446.33;0.11
20260520 183700;446.33;446.33;446.2;446.2;0.121
20260520 183800;446.2;446.2;446.17;446.19;0.11
20260520 183900;446.19;446.29;446.19;446.29;0.1
20260520 184000;446.29;446.32;446.29;446.32;0.056
20260520 184100;446.32;446.38;446.28;446.38;0.084
20260520 184200;446.38;446.44;446.34;446.44;0.059
20260520 184300;446.44;446.44;446.36;446.36;0.07
20260520 184400;446.36;446.37;446.33;446.33;0.035
20260520 184500;446.33;446.35;446.26;446.35;0.036
20260520 184600;446.35;446.43;446.35;446.37;0.116
20260520 184700;446.37;446.44;446.36;446.36;0.099
20260520 184800;446.36;446.36;446.34;446.34;0.09
20260520 184900;446.34;446.34;446.27;446.27;0.116
20260520 185000;446.27;446.45;446.09;446.45;0.143
20260520 185100;446.45;446.51;446.45;446.51;0.138
20260520 185200;446.51;446.61;446.51;446.61;0.12
20260520 185300;446.61;446.67;446.61;446.61;0.039
20260520 185400;446.61;446.61;446.5;446.5;0.041
20260520 185500;446.5;446.5;446.45;446.5;0.035
20260520 185600;446.5;447.11;446.5;447.11;0.101
20260520 185700;447.11;447.28;447.11;447.28;0.133
20260520 185800;447.28;447.44;447.28;447.44;0.155
20260520 185900;447.44;447.44;447.27;447.27;0.149
20260520 190000;447.27;447.36;447.27;447.33;0.08
20260520 190100;447.33;447.38;447.33;447.37;0.065
20260520 190200;447.37;447.37;447.25;447.25;0.051
20260520 190300;447.25;447.26;447.22;447.22;0.024
20260520 190400;447.22;447.23;447.18;447.18;0.021
20260520 190500;447.18;447.18;447.07;447.07;0.022
20260520 190600;447.07;447.07;446.9;446.9;0.032
20260520 190700;446.9;447.46;446.9;447.4;0.04
20260520 190800;447.4;447.42;447.37;447.42;0.042
20260520 190900;447.42;447.42;447.31;447.31;0.041
20260520 191000;447.31;447.4;447.27;447.27;0.04
20260520 191100;447.27;447.27;447.18;447.23;0.026
20260520 191200;447.23;447.3;447.23;447.3;0.029
20260520 191300;447.3;447.32;447.22;447.32;0.122
20260520 191400;447.32;447.32;447.24;447.24;0.132
20260520 191500;447.24;447.27;447.18;447.27;0.148
20260520 191600;447.27;447.37;447.22;447.22;0.195
20260520 191700;447.22;447.23;447.18;447.23;0.101
20260520 191800;447.23;447.35;447.23;447.35;0.123
20260520 191900;447.35;447.35;447.25;447.3;0.155
20260520 192000;447.3;447.44;447.3;447.44;0.142
20260520 192100;447.44;447.44;447.37;447.4;0.144
20260520 192200;447.4;447.45;447.4;447.43;0.156
20260520 192300;447.43;447.43;447.39;447.42;0.128
20260520 192400;447.42;447.44;447.37;447.37;0.14
20260520 192500;447.37;447.44;447.34;447.34;0.102
20260520 192600;447.34;447.34;447.23;447.26;0.131
20260520 192700;447.26;447.46;447.26;447.46;0.027
20260520 192800;447.46;447.46;447.4;447.4;0.021
20260520 192900;447.4;447.4;447.29;447.29;0.055
20260520 193000;447.29;447.46;447.29;447.46;0.901
20260520 193100;447.46;447.91;447.46;447.91;0.149
20260520 193200;447.91;447.95;447.86;447.86;0.094
20260520 193300;447.86;447.86;447.77;447.77;0.081
20260520 193400;447.77;447.77;447.75;447.76;0.055
20260520 193500;447.76;447.76;447.65;447.65;0.062
20260520 193600;447.65;447.65;447.57;447.57;0.089
20260520 193700;447.57;447.67;447.57;447.58;0.098
20260520 193800;447.58;447.62;447.54;447.62;0.092
20260520 193900;447.62;447.67;447.62;447.63;0.082
20260520 194000;447.63;447.73;447.63;447.73;0.1
20260520 194100;447.73;447.73;447.63;447.63;0.098
20260520 194200;447.63;447.65;447.59;447.65;0.081
20260520 194300;447.65;447.78;447.65;447.78;0.079
20260520 194400;447.78;447.87;447.78;447.87;0.094
20260520 194500;447.87;447.87;447.76;447.76;0.086
20260520 194600;447.76;447.89;447.76;447.89;0.094
20260520 194700;447.89;447.89;447.83;447.84;0.117
20260520 194800;447.84;447.9;447.82;447.89;0.168
20260520 194900;447.89;448.11;447.88;448.11;0.174
20260520 195000;448.11;448.14;448.11;448.14;0.101
20260520 195100;448.14;448.14;448.02;448.02;0.113
20260520 195200;448.02;448.15;448.02;448.15;0.087
20260520 195300;448.15;448.16;448.09;448.09;0.117
20260520 195400;448.09;448.24;448.09;448.24;0.102
20260520 195500;448.24;448.54;448.24;448.54;0.855
20260520 195600;448.54;450.18;448.54;450.16;0.158
20260520 195700;450.16;450.28;450.16;450.28;0.134
20260520 195800;450.28;450.28;450.22;450.22;0.15
20260520 195900;450.22;450.31;450.22;450.22;0.157
20260520 200000;450.22;450.22;449.51;449.51;0.977
20260520 200100;449.51;449.51;448.92;448.92;0.133
20260520 200200;448.92;448.92;448.88;448.88;0.226
20260520 200300;448.88;449.04;448.88;449.04;0.162
20260520 200400;449.04;449.04;448.93;448.93;0.103
20260520 200500;448.93;449.01;448.91;448.91;0.078
