20260101 000000;0.2641;0.3;0.2641;0.292;1856.76
20260102 000000;0.292;0.292;0.26;0.2805;9675.12
20260103 000000;0.2805;0.2805;0.2724;0.2724;109.63
20260104 000000;0.2724;0.4439;0.27;0.2777;16050.88
20260105 000000;0.2777;0.34;0.2652;0.2752;10196.09
20260106 000000;0.2752;0.2966;0.2702;0.2724;3674.19
20260107 000000;0.2724;0.2997;0.27;0.293;5508.47
20260108 000000;0.293;0.4168;0.2825;0.3409;9193.45
20260109 000000;0.3409;0.3409;0.32;0.3242;1431.07
20260110 000000;0.3242;0.389;0.3202;0.3412;34898.89
20260111 000000;0.3412;0.3574;0.332;0.3459;13228.58
20260112 000000;0.3459;0.3555;0.3297;0.3297;4011.17
20260113 000000;0.3297;0.3493;0.3;0.33;62444.02
20260114 000000;0.33;0.3575;0.31;0.3301;84677.9
20260115 000000;0.3301;0.3819;0.2689;0.3283;46259.26
20260116 000000;0.3283;0.3389;0.27;0.3121;17478.75
20260117 000000;0.3121;0.3121;0.275;0.308;7381.04
20260118 000000;0.308;0.3308;0.275;0.3005;13169.83
20260119 000000;0.3005;0.3005;0.248;0.2526;28291.19
20260120 000000;0.2526;0.3444;0.2187;0.3235;16783.65
20260121 000000;0.3235;0.3658;0.2669;0.2799;7853.82
20260122 000000;0.2799;0.2976;0.23;0.2617;19403.72
20260123 000000;0.2617;0.2698;0.2011;0.2276;11347.68
20260124 000000;0.2276;0.2276;0.205;0.2172;1710.69
20260125 000000;0.2172;0.2299;0.2172;0.22;881.31
20260126 000000;0.22;0.225;0.2116;0.2116;834.89
20260127 000000;0.2116;0.2116;0.2016;0.2103;696.67
20260128 000000;0.2103;0.2103;0.183;0.2022;3658.8
20260129 000000;0.2022;0.2094;0.1905;0.1929;2113.92
20260130 000000;0.1929;0.2371;0.09;0.1852;292046.41
20260131 000000;0.1852;0.1878;0.1465;0.1621;376230.02
20260201 000000;0.1621;0.1679;0.155;0.1586;350387.89
20260202 000000;0.1586;0.1995;0.1533;0.1546;341097.04
20260203 000000;0.1546;0.1615;0.1439;0.1516;344955.87
20260204 000000;0.1516;0.1624;0.1054;0.1519;343329.5
20260205 000000;0.1519;0.1599;0.115;0.1403;305824.33
20260206 000000;0.1403;0.1439;0.1263;0.1371;280081.92
20260207 000000;0.1371;0.1551;0.1333;0.1437;306570.5
20260208 000000;0.1437;0.15;0.138;0.142;307136.1
20260209 000000;0.142;0.143;0.1;0.1239;286451.54
20260210 000000;0.1239;0.1288;0.1107;0.1119;251384
20260211 000000;0.1119;0.1163;0.103;0.1049;165557.12
20260212 000000;0.1049;0.15;0.101;0.1128;126927.01
20260213 000000;0.1128;0.1612;0.1117;0.1459;22469.68
20260214 000000;0.1459;0.1496;0.11;0.1398;6178.23
20260215 000000;0.1398;0.1612;0.119;0.1272;6498.12
20260216 000000;0.1272;0.15;0.1272;0.1465;2036.16
20260217 000000;0.1465;0.1465;0.135;0.1385;876.06
20260218 000000;0.1385;0.15;0.1351;0.1404;1068.82
20260219 000000;0.1404;0.15;0.132;0.138;3989.97
20260220 000000;0.138;0.15;0.121;0.1386;39240.6
20260221 000000;0.1386;0.1386;0.133;0.1338;263.72
20260222 000000;0.1338;0.1433;0.1338;0.1433;525.54
20260223 000000;0.1433;0.1433;0.1364;0.1377;179.94
20260224 000000;0.1377;0.1379;0.1232;0.1322;2985.76
20260225 000000;0.1322;0.1399;0.1089;0.1256;17167.61
20260226 000000;0.1256;0.1362;0.114;0.1307;3338.24
20260227 000000;0.1307;0.1307;0.1163;0.1292;2225.32
20260228 000000;0.1292;0.1292;0.121;0.1218;344.44
20260301 000000;0.1218;0.1256;0.1209;0.1216;1029.18
20260302 000000;0.1216;0.129;0.1216;0.1248;478.59
20260303 000000;0.1248;0.127;0.1209;0.1229;614.86
20260304 000000;0.1229;0.1386;0.1209;0.1301;21109.07
20260305 000000;0.1301;0.133;0.128;0.1291;77555.01
20260306 000000;0.1291;0.1348;0.1281;0.1321;161980.46
20260307 000000;0.1321;0.1329;0.1263;0.1292;186293.37
20260308 000000;0.1292;0.13;0.1263;0.1293;218455.94
20260309 000000;0.1293;0.1389;0.128;0.1338;203175.31
20260310 000000;0.1338;0.1384;0.1297;0.1359;294587.98
20260311 000000;0.1359;0.1386;0.1203;0.1261;309430.19
20260312 000000;0.1261;0.1361;0.1156;0.1213;267882.65
20260313 000000;0.1213;0.1372;0.1212;0.1281;227128.58
20260314 000000;0.1281;0.173;0.1225;0.1263;259925.07
20260315 000000;0.1263;0.1568;0.123;0.1251;192312.19
20260316 000000;0.1251;0.2197;0.1246;0.1327;313137.79
20260317 000000;0.1327;0.1345;0.1145;0.1265;130640.79
20260318 000000;0.1265;0.1796;0.1242;0.143;239321.83
20260319 000000;0.143;0.1504;0.1239;0.1268;175350.72
20260320 000000;0.1268;0.1295;0.122;0.1227;182819.18
20260321 000000;0.1227;0.1384;0.1196;0.1271;210049.26
20260322 000000;0.1271;0.1394;0.1267;0.128;76169.47
20260323 000000;0.128;0.1596;0.1271;0.1298;201249.73
20260324 000000;0.1298;0.1467;0.1274;0.1311;93199.42
20260325 000000;0.1311;0.1395;0.1201;0.1256;185835.64
20260326 000000;0.1256;0.1256;0.1104;0.1185;66166.29
20260327 000000;0.1185;0.1574;0.1025;0.1126;241074.83
20260328 000000;0.1126;0.1292;0.1126;0.118;20570.14
20260329 000000;0.118;0.1244;0.1151;0.1154;66310.27
20260330 000000;0.1154;0.1243;0.115;0.1166;30204.38
20260331 000000;0.1166;0.1166;0.098;0.1007;97277.42
20260401 000000;0.1007;0.1148;0.0821;0.087;291933.66
20260402 000000;0.087;0.1227;0.0501;0.0853;192390
20260403 000000;0.0853;0.095;0.0827;0.095;123432.01
20260404 000000;0.095;0.1188;0.0876;0.0887;40692.64
20260405 000000;0.0887;0.0948;0.0817;0.092;107197.75
20260406 000000;0.092;0.0926;0.079;0.079;109363.91
20260407 000000;0.079;0.081;0.0623;0.066;45257.72
20260408 000000;0.066;0.0708;0.0628;0.0676;285519.47
20260409 000000;0.0676;0.0686;0.0567;0.0567;254802.54
20260410 000000;0.0567;0.0569;0.0501;0.0508;7728.22
20260411 000000;0.0508;0.0511;0.0507;0.0507;4817.09
20260412 000000;0.0507;0.0507;0.035;0.0402;23736.54
20260413 000000;0.0402;0.0439;0.0362;0.0409;19674.66
20260414 000000;0.0409;0.053;0.0409;0.0422;10453.99
20260415 000000;0.0422;0.0434;0.0384;0.04;197471.3
20260416 000000;0.04;0.0429;0.0359;0.0421;46904.9
20260417 000000;0.0421;0.0425;0.0399;0.0402;12119.79
20260418 000000;0.0402;0.0422;0.0333;0.0352;12211.47
20260419 000000;0.0352;0.0359;0.0325;0.0348;6279.98
20260420 000000;0.0348;0.0369;0.0313;0.0361;17655.29
20260421 000000;0.0361;0.0367;0.032;0.032;8326.94
20260422 000000;0.032;0.0366;0.03;0.0338;19759.5
20260423 000000;0.0338;0.0339;0.0314;0.0314;2844.62
20260424 000000;0.0314;0.0322;0.0303;0.0311;1806.47
20260425 000000;0.0311;0.0313;0.0275;0.0293;26883.5
20260426 000000;0.0293;0.0302;0.0293;0.03;18895.79
20260427 000000;0.03;0.0316;0.023;0.0278;36009.32
20260428 000000;0.0278;0.0315;0.0267;0.0288;17410.79
20260429 000000;0.0288;0.0288;0.027;0.027;1498.48
20260430 000000;0.027;0.0291;0.027;0.0279;15493.75
20260501 000000;0.0279;0.0367;0.0259;0.0279;27927.37
20260502 000000;0.0279;0.0289;0.0277;0.0277;3266.93
20260503 000000;0.0277;0.0277;0.0268;0.0274;62009.6
20260504 000000;0.0274;0.0277;0.0259;0.0266;4993.91
20260505 000000;0.0266;0.0277;0.0259;0.0274;11954.67
20260506 000000;0.0274;0.0274;0.0258;0.026;12359.68
20260507 000000;0.026;0.0264;0.025;0.0264;13248.8
20260508 000000;0.0264;0.0264;0.0228;0.0231;26929.63
20260509 000000;0.0231;0.0233;0.0212;0.022;13556.25
20260510 000000;0.022;0.0222;0.0165;0.0179;15867.42
20260511 000000;0.0179;0.0192;0.017;0.0191;8121.54
20260512 000000;0.0191;0.0191;0.0158;0.0158;15325.99
20260513 000000;0.0158;0.0159;0.0136;0.0136;12977.91
20260514 000000;0.0136;0.0147;0.0136;0.0147;855.24
20260515 000000;0.0147;0.0147;0.0113;0.0114;93657.62
20260516 000000;0.0114;0.0236;0.0077;0.02;60433.52
