20260101 000000;0.1417;0.1457;0.1337;0.137;698529.04
20260102 000000;0.137;0.166;0.125;0.1564;2349857.45
20260103 000000;0.1564;0.1671;0.155;0.1584;495917.07
20260104 000000;0.1584;0.1647;0.153;0.1542;467547.44
20260105 000000;0.1542;0.1813;0.1535;0.1705;844619.61
20260106 000000;0.1705;0.1787;0.1643;0.1699;469264.44
20260107 000000;0.1699;0.1716;0.1542;0.1545;469758.57
20260108 000000;0.1545;0.1576;0.1392;0.1483;555376.11
20260109 000000;0.1483;0.1692;0.1471;0.1656;1033324.15
20260110 000000;0.1656;0.1738;0.1585;0.1669;574636.34
20260111 000000;0.1669;0.1682;0.1469;0.1492;466162.03
20260112 000000;0.1492;0.1613;0.1492;0.1595;619567.92
20260113 000000;0.1595;0.222;0.1487;0.207;2443945.68
20260114 000000;0.207;0.2247;0.187;0.1917;1146387.56
20260115 000000;0.1917;0.2037;0.1873;0.1914;714502.99
20260116 000000;0.1914;0.2173;0.1907;0.2125;827983.09
20260117 000000;0.2125;0.2182;0.195;0.1952;645655.75
20260118 000000;0.1952;0.2046;0.1897;0.1951;388895.17
20260119 000000;0.1951;0.2182;0.1848;0.2035;873629.31
20260120 000000;0.2035;0.21;0.1781;0.1789;806059.19
20260121 000000;0.1789;0.1893;0.1769;0.1845;462781.38
20260122 000000;0.1845;0.1877;0.177;0.1849;383348.72
20260123 000000;0.1849;0.1858;0.1686;0.1696;556750.94
20260124 000000;0.1696;0.1822;0.1696;0.172;414939.79
20260125 000000;0.172;0.1756;0.1655;0.1726;541732.73
20260126 000000;0.1726;0.1808;0.1692;0.1748;459535.65
20260127 000000;0.1748;0.183;0.171;0.18;468600.29
20260128 000000;0.18;0.182;0.174;0.177;380187
20260129 000000;0.177;0.1937;0.1664;0.1856;619747.89
20260130 000000;0.1856;0.1863;0.1756;0.1818;444122.17
20260131 000000;0.1818;0.1827;0.1618;0.1745;430383.36
20260201 000000;0.1745;0.2217;0.1497;0.206;1438999.68
20260202 000000;0.206;0.2589;0.1904;0.2462;2773892.53
20260203 000000;0.2462;0.2612;0.2265;0.2569;1763718.93
20260204 000000;0.2569;0.2846;0.1957;0.1966;2013261.87
20260205 000000;0.1966;0.2259;0.1916;0.2004;704278.25
20260206 000000;0.2004;0.2259;0.1938;0.2209;637245.63
20260207 000000;0.2209;0.2307;0.2161;0.219;404031.06
20260208 000000;0.219;0.2367;0.2094;0.2304;533551.44
20260209 000000;0.2304;0.254;0.2281;0.2425;536615.61
20260210 000000;0.2425;0.2501;0.232;0.2324;488471.59
20260211 000000;0.2324;0.2458;0.2312;0.2434;645809.27
20260212 000000;0.2434;0.2481;0.2364;0.2413;480736.19
20260213 000000;0.2413;0.2501;0.2256;0.2284;537680.88
20260214 000000;0.2284;0.251;0.2243;0.2432;738848.82
20260215 000000;0.2432;0.2516;0.2327;0.246;710994.99
20260216 000000;0.246;0.2514;0.2406;0.2426;311503.54
20260217 000000;0.2426;0.2444;0.2286;0.2295;480321.76
20260218 000000;0.2295;0.2366;0.2055;0.2063;525885.94
20260219 000000;0.2063;0.2422;0.2062;0.239;711488.2
20260220 000000;0.239;0.2444;0.2338;0.2404;456951.35
20260221 000000;0.2404;0.2481;0.2376;0.2392;296987.27
20260222 000000;0.2392;0.2498;0.2387;0.2416;366441.29
20260223 000000;0.2416;0.2453;0.2214;0.2321;393110.23
20260224 000000;0.2321;0.2472;0.224;0.2406;381912.95
20260225 000000;0.2406;0.248;0.2309;0.231;379760.52
20260226 000000;0.231;0.3262;0.206;0.249;3547755.8
20260227 000000;0.249;0.259;0.1781;0.1857;3917117.04
