20260101 000000;3.035;3.092;2.968;3.02;17660.66
20260102 000000;3.02;3.147;2.976;3.121;20584.09
20260103 000000;3.121;3.3;2.903;3.012;22778.11
20260104 000000;3.012;3.104;2.957;3.02;19863.52
20260105 000000;3.02;3.289;2.902;3.157;20169.84
20260106 000000;3.157;3.206;2.838;3.028;22764.03
20260107 000000;3.028;3.08;2.814;2.947;22851.64
20260108 000000;2.947;3.02;2.722;2.841;24156.09
20260109 000000;2.841;2.95;2.783;2.91;19540.65
20260110 000000;2.91;3.9;2.884;3.408;27977.33
20260111 000000;3.408;3.485;3.137;3.209;19956.89
20260112 000000;3.209;3.299;2.943;3.067;22399.42
20260113 000000;3.067;3.44;3.066;3.4;22630.09
20260114 000000;3.4;3.9;3.276;3.77;23429.15
20260115 000000;3.77;3.774;3.414;3.561;18032.82
20260116 000000;3.561;3.74;3.448;3.533;19266.85
20260117 000000;3.533;3.614;3.441;3.483;33904.98
20260118 000000;3.483;3.763;3.327;3.515;20048.74
20260119 000000;3.515;3.515;3.241;3.299;21628.51
20260120 000000;3.299;3.315;3;3.099;21660.59
20260121 000000;3.099;3.22;2.9;3.19;25165.62
20260122 000000;3.19;3.445;2.856;3.022;25349.94
20260123 000000;3.022;3.298;2.989;3.048;26858.04
20260124 000000;3.048;3.111;2.943;2.985;20206.06
20260125 000000;2.985;3.01;2.862;2.892;20347.19
20260126 000000;2.892;3.001;2.72;2.832;29131.03
20260127 000000;2.832;2.964;2.782;2.927;23215.19
20260128 000000;2.927;3.049;2.883;2.9;20529.06
20260129 000000;2.9;2.957;2.451;2.659;27521.98
20260130 000000;2.659;2.682;2.375;2.544;28989.23
20260131 000000;2.544;2.547;2.177;2.395;27104.43
20260201 000000;2.395;2.441;2.236;2.265;26690.11
20260202 000000;2.265;2.441;2.224;2.335;29918.41
20260203 000000;2.335;2.848;2.268;2.416;30590.14
20260204 000000;2.416;2.421;2.201;2.263;27496.46
20260205 000000;2.263;2.263;1.784;1.997;31499.09
20260206 000000;1.997;2.404;1.872;2.372;33197.37
20260207 000000;2.372;2.373;2.099;2.103;28271.87
20260208 000000;2.103;2.219;2.068;2.181;29154.66
20260209 000000;2.181;2.185;2.013;2.102;30364.51
20260210 000000;2.102;2.14;1.969;2.051;28384.73
20260211 000000;2.051;2.137;1.98;2.011;30373.79
20260212 000000;2.011;2.052;1.9;1.998;29717.51
20260213 000000;1.998;1.998;1.863;1.96;30360.08
20260214 000000;1.96;2.033;1.946;1.998;29659.16
20260215 000000;1.998;2.079;1.93;1.946;30209.35
20260216 000000;1.946;2.013;1.92;1.955;31315.96
20260217 000000;1.955;2.014;1.94;2.013;28515.92
20260218 000000;2.013;2.014;1.903;1.905;28987.22
20260219 000000;1.905;1.929;1.841;1.874;30565.89
20260220 000000;1.874;1.926;1.809;1.92;30384.81
20260221 000000;1.92;1.937;1.871;1.878;30640.22
20260222 000000;1.878;1.909;1.807;1.848;32325.79
20260223 000000;1.848;1.877;1.762;1.794;31020.13
20260224 000000;1.794;1.847;1.7;1.782;33187.9
20260225 000000;1.782;2.11;1.779;1.944;32081.15
20260226 000000;1.944;2.083;1.806;1.822;35177.09
20260227 000000;1.822;1.944;1.789;1.869;30760.02
20260228 000000;1.869;1.916;1.72;1.782;32265.59
20260301 000000;1.782;1.99;1.78;1.842;31639.14
20260302 000000;1.842;1.99;1.839;1.901;29492.05
20260303 000000;1.901;1.992;1.891;1.917;28226.87
20260304 000000;1.917;2;1.852;1.939;32615.09
20260305 000000;1.939;2.098;1.86;1.894;31693.22
20260306 000000;1.894;1.903;1.628;1.797;33496.28
20260307 000000;1.797;1.891;1.788;1.792;30582.6
20260308 000000;1.792;1.864;1.788;1.824;31498.32
20260309 000000;1.824;1.865;1.778;1.816;31178.32
20260310 000000;1.816;1.881;1.814;1.871;29386.72
20260311 000000;1.871;1.89;1.817;1.856;31551.81
20260312 000000;1.856;1.876;1.769;1.802;30237.21
20260313 000000;1.802;1.864;1.764;1.835;32847.7
20260314 000000;1.835;1.836;1.77;1.772;32530.39
20260315 000000;1.772;1.814;1.745;1.811;32017.51
20260316 000000;1.811;1.951;1.769;1.891;31973.03
20260317 000000;1.891;2.042;1.867;1.897;31591.18
20260318 000000;1.897;1.907;1.776;1.83;31246.07
20260319 000000;1.83;1.842;1.761;1.828;32260.3
20260320 000000;1.828;1.831;1.733;1.755;32077.33
20260321 000000;1.755;1.825;1.63;1.741;40013.27
20260322 000000;1.741;1.762;1.65;1.702;35422.69
20260323 000000;1.702;1.838;1.565;1.678;39624.86
20260324 000000;1.678;1.697;1.559;1.6;34518.29
20260325 000000;1.6;1.643;1.54;1.575;36052.27
20260326 000000;1.575;1.66;1.403;1.617;42307.83
20260327 000000;1.617;1.693;1.513;1.52;37161.07
20260328 000000;1.52;1.565;1.474;1.499;37909.55
20260329 000000;1.499;1.5;1.449;1.473;37485.97
20260330 000000;1.473;1.615;1.46;1.558;37106.23
20260331 000000;1.558;1.695;1.522;1.596;38186.44
20260401 000000;1.596;1.597;1.45;1.573;42312.2
20260402 000000;1.573;1.573;1.246;1.305;50077.64
20260403 000000;1.305;1.306;1.123;1.181;47478.74
20260404 000000;1.181;1.288;1.01;1.249;57384.98
20260405 000000;1.249;1.249;1.175;1.213;47059.21
20260406 000000;1.213;1.22;1.158;1.218;48658.51
20260407 000000;1.218;1.416;1.19;1.283;48241.63
20260408 000000;1.283;1.462;1.269;1.413;44810.54
20260409 000000;1.413;1.421;1.048;1.121;59352.97
20260410 000000;1.121;1.147;1.025;1.062;55971.93
20260411 000000;1.062;1.147;1;1.056;61702.81
20260412 000000;1.056;1.149;0.979;1.011;57751.37
20260413 000000;1.011;1.016;0.922;0.966;59971.16
20260414 000000;0.966;1.13;0.964;1.0305;62673.19
20260415 000000;1.0305;1.038;0.946;0.9629;60370.8
20260416 000000;0.9629;0.98;0.88;0.9475;69565.3
20260417 000000;0.9475;0.9959;0.935;0.948;61365.51
20260418 000000;0.948;0.9779;0.937;0.962;63163.39
20260419 000000;0.962;2.5;0.9469;1.5847;85794.28
20260420 000000;1.5847;2.5021;1.4811;2.1184;60235.3
20260421 000000;2.1184;2.2101;1.69;1.9127;41957.79
20260422 000000;1.9127;1.98;1.614;1.7611;35647.8
20260423 000000;1.7611;1.8019;1.442;1.5839;38115.31
20260424 000000;1.5839;1.667;1.3613;1.441;38329.16
20260425 000000;1.441;1.5047;1.4071;1.4561;40173.22
