20250101 000000;1.863;1.92;1.762;1.858;1995639.73
20250102 000000;1.858;2.053;1.853;2.022;3526779.54
20250103 000000;2.022;2.211;1.947;2.166;2917379.83
20250104 000000;2.166;2.181;2.091;2.177;1376452.91
20250105 000000;2.177;2.198;2.075;2.103;1676243.05
20250106 000000;2.103;2.159;2.024;2.086;2121736.91
20250107 000000;2.086;2.1;1.841;1.853;3284589.46
20250108 000000;1.853;1.887;1.659;1.71;3945974
20250109 000000;1.71;1.734;1.493;1.541;5126647.47
20250110 000000;1.541;1.633;1.517;1.558;4241447.03
20250111 000000;1.558;1.642;1.526;1.576;1477700.61
20250112 000000;1.576;1.591;1.524;1.544;1284863.72
20250113 000000;1.544;1.593;1.356;1.49;7142744.53
20250114 000000;1.49;1.575;1.473;1.552;3082733.6
20250115 000000;1.552;1.782;1.502;1.773;7289808.67
20250116 000000;1.773;1.85;1.703;1.761;5124376.81
20250117 000000;1.761;1.92;1.75;1.872;3614123.34
20250118 000000;1.872;1.989;1.74;1.771;8045347.04
20250119 000000;1.771;1.822;1.502;1.535;19764111.81
20250120 000000;1.535;1.605;1.36;1.39;21401674.21
20250121 000000;1.39;1.526;1.312;1.457;5682880.34
20250122 000000;1.457;1.488;1.395;1.418;3823596.55
20250123 000000;1.418;1.463;1.345;1.419;5632470.14
20250124 000000;1.419;1.474;1.261;1.283;4029369.2
20250125 000000;1.283;1.332;1.225;1.277;4275515.55
20250126 000000;1.277;1.306;1.205;1.209;1995333.72
20250127 000000;1.209;1.211;1.08;1.184;28558112.14
20250128 000000;1.184;1.208;0.975;1.057;63123213.48
20250129 000000;1.057;1.377;1.052;1.184;132783362.1
20250130 000000;1.184;1.263;1.151;1.153;41149693.48
20250131 000000;1.153;1.317;1.109;1.135;61357701.79
20250201 000000;1.135;1.177;0.994;1.009;41498193.81
20250202 000000;1.009;1.068;0.875;0.949;93282873.55
20250203 000000;0.949;0.951;0.634;0.859;217497488.04
20250204 000000;0.859;0.891;0.746;0.802;82279032.95
20250205 000000;0.802;0.852;0.77;0.794;111469670.44
20250206 000000;0.794;0.82;0.701;0.711;148797288.02
20250207 000000;0.711;0.783;0.647;0.678;149025530.02
20250208 000000;0.678;0.738;0.659;0.717;98291238.94
20250209 000000;0.717;0.736;0.611;0.643;111777947.29
20250210 000000;0.643;0.689;0.617;0.658;129201183.82
20250211 000000;0.658;0.698;0.612;0.627;158890188.09
20250212 000000;0.627;0.633;0.55;0.606;251625189.07
20250213 000000;0.606;0.628;0.571;0.589;137835430.96
20250214 000000;0.589;0.798;0.584;0.728;352977366.27
20250215 000000;0.728;0.73;0.675;0.688;133194579.46
20250216 000000;0.688;0.706;0.646;0.658;92423721.12
20250217 000000;0.658;0.702;0.616;0.631;138922663.1
20250218 000000;0.631;0.637;0.575;0.615;132961046.95
20250219 000000;0.615;0.639;0.597;0.609;100013539.63
20250220 000000;0.609;0.647;0.599;0.645;111209225.66
20250221 000000;0.645;0.729;0.631;0.644;232181458.37
20250222 000000;0.644;0.719;0.632;0.704;167500713.83
20250223 000000;0.704;0.704;0.65;0.66;54945143.9
20250224 000000;0.66;0.669;0.536;0.554;173362617.02
20250225 000000;0.554;0.566;0.502;0.549;322518854.92
20250226 000000;0.549;0.593;0.535;0.578;204474693.4
20250227 000000;0.578;0.62;0.563;0.585;137417440.87
20250228 000000;0.585;0.647;0.547;0.628;241082218.62
20250301 000000;0.628;0.663;0.589;0.61;147939806.45
20250302 000000;0.61;0.785;0.606;0.761;278650143.07
20250303 000000;0.761;0.79;0.632;0.643;273794373.9
20250304 000000;0.643;0.65;0.537;0.575;337155456.05
20250305 000000;0.575;0.616;0.551;0.582;208794652.36
20250306 000000;0.582;0.601;0.556;0.572;155466468.35
20250307 000000;0.572;0.583;0.524;0.534;209907488.11
20250308 000000;0.534;0.546;0.511;0.533;116696155.72
20250309 000000;0.533;0.54;0.429;0.442;179357259.73
20250310 000000;0.442;0.494;0.424;0.429;241434496.68
20250311 000000;0.429;0.474;0.396;0.448;233916004.91
20250312 000000;0.448;0.481;0.427;0.481;158176134.21
20250313 000000;0.481;0.5;0.453;0.47;222760158.55
20250314 000000;0.47;0.529;0.468;0.509;155981485.09
20250315 000000;0.509;0.515;0.492;0.502;81906074.83
20250316 000000;0.502;0.502;0.459;0.466;59561211.45
20250317 000000;0.466;0.518;0.464;0.501;61236643.4
20250318 000000;0.501;0.502;0.45;0.479;45698006.34
20250319 000000;0.479;0.523;0.477;0.518;73412227.6
20250320 000000;0.518;0.524;0.48;0.506;48607937.39
20250321 000000;0.506;0.533;0.482;0.489;53869005.33
20250322 000000;0.489;0.529;0.485;0.508;39992548.88
20250323 000000;0.508;0.537;0.498;0.517;49819486.59
20250324 000000;0.517;0.579;0.505;0.558;85507523.3
20250325 000000;0.558;0.571;0.533;0.55;59855447.02
20250326 000000;0.55;0.59;0.522;0.528;81152305.5
20250327 000000;0.528;0.561;0.509;0.519;54158037.04
20250328 000000;0.519;0.527;0.453;0.46;53622552.47
20250329 000000;0.46;0.468;0.421;0.434;44938353.11
20250330 000000;0.434;0.446;0.428;0.436;28192111.01
20250331 000000;0.436;0.442;0.413;0.42;47676839.72
20250401 000000;0.42;0.446;0.415;0.422;51926574.15
20250402 000000;0.422;0.431;0.369;0.374;94798406.22
20250403 000000;0.374;0.393;0.354;0.383;67052241.67
20250404 000000;0.383;0.391;0.361;0.388;75258445.03
20250405 000000;0.388;0.394;0.376;0.387;23983580.32
20250406 000000;0.387;0.387;0.327;0.335;57353327.88
20250407 000000;0.335;0.36;0.304;0.342;90402844.33
20250408 000000;0.342;0.358;0.316;0.318;62164022.92
20250409 000000;0.318;0.379;0.304;0.372;90466133.49
20250410 000000;0.372;0.376;0.352;0.366;56121285.21
20250411 000000;0.366;0.411;0.364;0.396;61710984.92
20250412 000000;0.396;0.481;0.389;0.468;70395329.48
20250413 000000;0.468;0.479;0.437;0.444;71384499.54
20250414 000000;0.444;0.482;0.419;0.431;72589651.74
20250415 000000;0.431;0.437;0.386;0.388;44855958.07
20250416 000000;0.388;0.39;0.362;0.379;75019018.1
20250417 000000;0.379;0.402;0.368;0.375;50593638.42
20250418 000000;0.375;0.412;0.375;0.402;41010932.3
20250419 000000;0.402;0.42;0.392;0.418;19009883.25
20250420 000000;0.418;0.442;0.414;0.428;32947061.4
20250421 000000;0.428;0.46;0.42;0.424;43051075.23
20250422 000000;0.424;0.511;0.414;0.501;64138021.49
20250423 000000;0.501;0.585;0.5;0.54;109730609.62
20250424 000000;0.54;0.56;0.508;0.555;74565014.64
20250425 000000;0.555;0.669;0.544;0.638;103507450.71
20250426 000000;0.638;0.721;0.628;0.652;77564555.99
20250427 000000;0.652;0.655;0.608;0.615;38026515.69
20250428 000000;0.615;0.67;0.594;0.618;59994223.09
20250429 000000;0.618;0.627;0.57;0.603;37929722.3
20250430 000000;0.603;0.638;0.561;0.632;35920824.97
20250501 000000;0.632;0.662;0.609;0.616;35166067.98
20250502 000000;0.616;0.656;0.598;0.644;37681625.3
20250503 000000;0.644;0.649;0.567;0.568;26922004.74
20250504 000000;0.568;0.576;0.535;0.547;25689539.96
20250505 000000;0.547;0.569;0.532;0.548;23550555.79
20250506 000000;0.548;0.57;0.521;0.562;31579104.73
20250507 000000;0.562;0.591;0.532;0.574;39124301.45
20250508 000000;0.574;0.71;0.573;0.691;75489883.67
20250509 000000;0.691;0.771;0.653;0.75;125730939.03
20250510 000000;0.75;0.979;0.748;0.947;183315953.28
20250511 000000;0.947;0.952;0.861;0.91;64472008.21
20250512 000000;0.91;1.322;0.908;1.147;236210389.87
20250513 000000;1.147;1.233;1.058;1.174;109432867.83
20250514 000000;1.174;1.191;1.032;1.133;64811576.68
20250515 000000;1.133;1.148;0.946;0.986;69632997.43
20250516 000000;0.986;1.148;0.969;1.003;64603872.55
20250517 000000;1.003;1.013;0.92;0.932;47293067
20250518 000000;0.932;1.1;0.925;1.07;87445708.8
20250519 000000;1.07;1.079;0.928;0.993;62151766.68
20250520 000000;0.993;1.02;0.93;0.975;48980979.81
20250521 000000;0.975;1.19;0.958;1.114;122932465.92
20250522 000000;1.114;1.201;1.102;1.2;79547883.04
20250523 000000;1.2;1.393;1.102;1.112;150138656.72
20250524 000000;1.112;1.172;1.082;1.118;51422034.62
20250525 000000;1.118;1.136;1.01;1.105;51132487.64
20250526 000000;1.105;1.199;1.101;1.124;51236936.86
20250527 000000;1.124;1.164;1.058;1.109;49593115.44
20250528 000000;1.109;1.136;1.059;1.123;45916436.91
20250529 000000;1.123;1.185;1.045;1.056;49299747.44
20250530 000000;1.056;1.064;0.884;0.887;50245464.04
20250531 000000;0.887;0.891;0.785;0.852;84851866.05
20250601 000000;0.852;0.889;0.812;0.873;36222059.76
20250602 000000;0.873;0.967;0.839;0.947;52408916.53
20250603 000000;0.947;1.048;0.939;0.971;81686396.54
20250604 000000;0.971;0.996;0.879;0.882;46987095.91
20250605 000000;0.882;0.9;0.796;0.826;66020241.11
20250606 000000;0.826;0.883;0.812;0.813;48655555.28
20250607 000000;0.813;0.925;0.812;0.873;34409823.39
20250608 000000;0.873;0.932;0.84;0.89;34273603.71
20250609 000000;0.89;1.031;0.868;1.027;64787935.5
20250610 000000;1.027;1.077;0.988;1.028;73871965.37
20250611 000000;1.028;1.046;0.93;0.955;58231296.21
20250612 000000;0.955;0.968;0.873;0.885;46592033.33
20250613 000000;0.885;0.887;0.792;0.853;83399423.12
20250614 000000;0.853;0.865;0.818;0.832;28888762.14
20250615 000000;0.832;0.866;0.825;0.851;22430901.92
20250616 000000;0.851;0.905;0.831;0.833;52002099.5
20250617 000000;0.833;0.865;0.75;0.771;60946957.21
20250618 000000;0.771;0.806;0.734;0.792;41881960.86
20250619 000000;0.792;0.814;0.773;0.792;28008090.47
20250620 000000;0.792;0.82;0.735;0.76;36167064.24
20250621 000000;0.76;0.781;0.674;0.701;35468507
20250622 000000;0.701;0.716;0.635;0.689;53850556.37
20250623 000000;0.689;0.846;0.674;0.831;79186008.26
