20230622 000000;6.77;7.049;6.622;6.641;6081.866
20230623 000000;6.641;7.081;6.616;6.937;4201.651
20230624 000000;6.937;7.215;6.864;7.12;6054.754
20230625 000000;7.12;7.501;7.117;7.262;6433.623
20230626 000000;7.262;7.392;6.976;7.213;4896.316
20230627 000000;7.213;7.292;7.063;7.223;3019.91
20230628 000000;7.223;7.224;6.454;6.769;4134.248
20230629 000000;6.769;7.045;6.731;6.906;3010.908
20230630 000000;6.906;9.615;6.843;8.686;37210.563
20230701 000000;8.686;9.183;8.005;8.206;8281.084
20230702 000000;8.206;9;8.092;8.733;9123.441
20230703 000000;8.733;9.68;8.703;9.236;9376.098
20230704 000000;9.236;9.708;9.014;9.016;4054.294
20230705 000000;9.016;9.216;8.128;8.305;5184.685
20230706 000000;8.305;9.068;8.277;8.282;5415.835
20230707 000000;8.282;8.544;8.112;8.186;3088.234
20230708 000000;8.186;8.362;7.75;8.103;2856.62
20230709 000000;8.103;8.145;7.854;7.891;2634.12
20230710 000000;7.891;8.369;7.677;8.136;4901.769
20230711 000000;8.136;8.191;7.945;8.055;2522.983
20230712 000000;8.055;8.321;7.976;8.167;2838.637
20230713 000000;8.167;8.773;7.998;8.764;4310.057
20230714 000000;8.764;8.929;8.078;8.561;3242.672
20230715 000000;8.561;8.588;8.295;8.334;2083.658
20230716 000000;8.334;8.388;7.956;7.993;3927.667
20230717 000000;7.993;8.239;7.83;8.171;3165.364
20230718 000000;8.171;8.245;7.855;8.032;2698.675
20230719 000000;8.032;8.2;7.95;8.043;2752.792
20230720 000000;8.043;8.393;7.982;8.391;5232.051
20230721 000000;8.391;8.573;8.248;8.467;4433.639
20230722 000000;8.467;8.855;8.442;8.748;3316.229
20230723 000000;8.748;9.535;8.703;9.235;9964.389
20230724 000000;9.235;9.451;8.371;8.647;7444.814
20230725 000000;8.647;8.817;8.524;8.551;2672.623
20230726 000000;8.551;9.365;8.454;9.197;3031.18
20230727 000000;9.197;10;9.114;9.716;10013.228
20230728 000000;9.716;10.194;9.502;9.533;7236.354
20230729 000000;9.533;9.626;9.273;9.289;2135.844
20230730 000000;9.289;9.462;8.879;9.138;3496.271
20230731 000000;9.138;9.394;8.978;9.029;2265.562
20230801 000000;9.029;9.632;8.846;9.632;3441.514
20230802 000000;9.632;9.742;9.231;9.259;3201.824
20230803 000000;9.259;9.489;9.128;9.215;2049.03
20230804 000000;9.215;9.572;9.101;9.261;2752.347
20230805 000000;9.261;9.33;9.058;9.263;2528.628
20230806 000000;9.263;9.506;9.225;9.401;2488.405
20230807 000000;9.401;9.502;8.857;9.041;2509.24
20230808 000000;9.041;9.041;8.595;8.713;3341.1
20230809 000000;8.713;8.778;8.551;8.671;3782.728
20230810 000000;8.671;8.813;8.586;8.625;2607.54
20230811 000000;8.625;8.727;8.544;8.718;2303.951
20230812 000000;8.718;8.779;8.655;8.678;2140.412
20230813 000000;8.678;8.769;8.553;8.624;2242.152
20230814 000000;8.624;8.867;8.566;8.815;2719.135
20230815 000000;8.815;8.817;7.604;8.003;3516.707
20230816 000000;8.003;8.024;7.513;7.807;3447.113
20230817 000000;7.807;7.896;6.374;7.09;3172.329
20230818 000000;7.09;7.368;7.082;7.237;2446.65
20230819 000000;7.237;7.339;7.139;7.279;2553.464
20230820 000000;7.279;7.313;7.096;7.213;2342.393
20230821 000000;7.213;7.227;7.002;7.155;2429.593
20230822 000000;7.155;7.281;6.97;7.281;3415.287
20230823 000000;7.281;7.52;7.223;7.414;2684.148
20230824 000000;7.414;7.417;7.016;7.134;5239.853
20230825 000000;7.134;7.179;6.946;7.127;6027.137
20230826 000000;7.127;7.218;7.043;7.098;2518.347
20230827 000000;7.098;7.143;6.778;6.826;3430.431
20230828 000000;6.826;6.929;6.65;6.903;2788.417
20230829 000000;6.903;8.124;6.765;7.835;20447.71
20230830 000000;7.835;7.935;7.623;7.935;6049.556
20230831 000000;7.935;7.994;7.388;7.553;4537.744
20230901 000000;7.553;7.735;7.272;7.327;3217.387
20230902 000000;7.327;7.374;7.027;7.207;2782.562
20230903 000000;7.207;7.32;7.123;7.276;2734.5
20230904 000000;7.276;7.438;7.035;7.114;2476.247
20230905 000000;7.114;7.363;7.019;7.309;3024.294
20230906 000000;7.309;7.394;7.114;7.339;2773.523
