20260520 181900;6.622;6.622;6.616;6.616;26.84
20260520 182000;6.616;6.628;6.616;6.626;147.93
20260520 182100;6.626;6.635;6.626;6.635;6.69
20260520 182200;6.635;6.635;6.606;6.606;84.13
20260520 182300;6.606;6.606;6.594;6.594;39.94
20260520 182400;6.594;6.608;6.594;6.603;7.88
20260520 182500;6.603;6.603;6.582;6.589;13.53
20260520 182600;6.589;6.614;6.589;6.614;21.52
20260520 182700;6.614;6.626;6.611;6.626;23.25
20260520 182800;6.626;6.629;6.626;6.629;67.87
20260520 182900;6.629;6.629;6.629;6.629;146.31
20260520 183000;6.629;6.629;6.603;6.603;105.52
20260520 183100;6.603;6.614;6.603;6.612;74
20260520 183200;6.612;6.612;6.595;6.595;90.22
20260520 183300;6.595;6.595;6.591;6.591;7.12
20260520 183400;6.591;6.591;6.59;6.591;6.47
20260520 183500;6.591;6.598;6.587;6.596;85.27
20260520 183600;6.596;6.603;6.596;6.601;5.77
20260520 183700;6.601;6.601;6.593;6.594;7.63
20260520 183800;6.594;6.594;6.593;6.594;6.46
20260520 183900;6.594;6.594;6.59;6.59;10.92
20260520 184000;6.59;6.59;6.584;6.584;7.46
20260520 184100;6.584;6.596;6.584;6.594;38.45
20260520 184200;6.594;6.594;6.587;6.587;7.63
20260520 184300;6.587;6.59;6.577;6.577;1.91
20260520 184400;6.577;6.581;6.577;6.579;0.87
20260520 184500;6.579;6.58;6.571;6.579;8.3
20260520 184600;6.579;6.579;6.562;6.562;7.99
20260520 184700;6.562;6.569;6.56;6.569;5.95
20260520 184800;6.569;6.579;6.569;6.579;9.01
20260520 184900;6.579;6.584;6.579;6.584;25.73
20260520 185000;6.584;6.584;6.581;6.581;92.65
20260520 185100;6.581;6.581;6.574;6.574;6.44
20260520 185200;6.574;6.574;6.572;6.572;4.03
20260520 185300;6.572;6.572;6.57;6.571;6.98
20260520 185400;6.571;6.581;6.525;6.546;815.36
20260520 185500;6.546;6.552;6.546;6.552;17.34
20260520 185600;6.552;6.552;6.547;6.55;14.36
20260520 185700;6.55;6.55;6.542;6.545;13.59
20260520 185800;6.545;6.553;6.545;6.553;0.6
20260520 185900;6.553;6.556;6.551;6.551;27.26
20260520 190000;6.551;6.551;6.543;6.544;14.72
20260520 190100;6.544;6.563;6.544;6.563;320.15
20260520 190200;6.563;6.566;6.563;6.565;9.01
20260520 190300;6.565;6.565;6.552;6.552;10.76
20260520 190400;6.552;6.557;6.552;6.554;8.21
20260520 190500;6.554;6.554;6.549;6.551;8.06
20260520 190600;6.551;6.552;6.54;6.55;88.59
20260520 190700;6.55;6.551;6.55;6.551;168.72
20260520 190800;6.551;6.572;6.551;6.571;158.45
20260520 190900;6.571;6.571;6.568;6.568;8.06
20260520 191000;6.568;6.581;6.568;6.581;55.61
20260520 191100;6.581;6.581;6.573;6.575;2.71
20260520 191200;6.575;6.575;6.57;6.57;2.48
20260520 191300;6.57;6.57;6.557;6.558;11.99
20260520 191400;6.558;6.558;6.546;6.546;22.93
20260520 191500;6.546;6.559;6.546;6.559;9.46
20260520 191600;6.559;6.564;6.559;6.564;2.12
20260520 191700;6.564;6.565;6.564;6.564;5.61
20260520 191800;6.564;6.579;6.559;6.579;7.22
20260520 191900;6.579;6.634;6.579;6.632;102.96
20260520 192000;6.632;6.636;6.632;6.636;6.01
20260520 192100;6.636;6.655;6.636;6.649;190.98
20260520 192200;6.649;6.658;6.649;6.658;10.66
20260520 192300;6.658;6.774;6.655;6.765;157
20260520 192400;6.765;6.813;6.765;6.781;191.39
20260520 192500;6.781;6.781;6.756;6.761;120.45
20260520 192600;6.761;6.761;6.734;6.734;1226.11
20260520 192700;6.734;6.773;6.734;6.773;38.85
20260520 192800;6.773;6.773;6.756;6.758;3.54
20260520 192900;6.758;6.774;6.758;6.774;6.76
20260520 193000;6.774;6.782;6.758;6.779;68.13
20260520 193100;6.779;6.779;6.765;6.769;4.42
20260520 193200;6.769;6.774;6.769;6.774;5.19
20260520 193300;6.774;6.774;6.762;6.762;15.43
20260520 193400;6.762;6.767;6.762;6.763;15.16
20260520 193500;6.763;6.763;6.75;6.75;1.54
20260520 193600;6.75;6.76;6.75;6.759;1.41
20260520 193700;6.759;6.763;6.759;6.763;25.56
20260520 193800;6.763;6.77;6.763;6.766;6.03
20260520 193900;6.766;6.775;6.766;6.775;15.16
20260520 194000;6.775;6.781;6.774;6.776;140.07
20260520 194100;6.776;6.785;6.776;6.784;10.46
20260520 194200;6.784;6.784;6.766;6.769;17.78
20260520 194300;6.769;6.771;6.766;6.766;9.71
20260520 194400;6.766;6.854;6.766;6.852;428.3
20260520 194500;6.852;6.852;6.835;6.84;19.87
20260520 194600;6.84;6.861;6.84;6.861;60.44
20260520 194700;6.861;6.861;6.843;6.846;7.68
20260520 194800;6.846;6.866;6.846;6.866;227.81
20260520 194900;6.866;6.866;6.852;6.852;57
20260520 195000;6.852;6.864;6.852;6.864;24.77
20260520 195100;6.864;6.887;6.847;6.887;91.55
20260520 195200;6.887;6.891;6.871;6.884;50.84
20260520 195300;6.884;6.884;6.867;6.871;88.03
