base_asset,mexc_symbol,status
4,4USDT,ok:43200 candles
67,67USDT,ok:43200 candles
ACT,ACTUSDT,ok:43200 candles
AEON,AEONUSDT,ok:43199 candles
AEROBUD,AEROBUDUSDT,ok:43199 candles
AGI,AGIUSDT,ok:43198 candles
AI,AIUSDT,ok:43197 candles
AIDOGE,AIDOGEUSDT,ok:43197 candles
AIX,AIXUSDT,ok:43196 candles
AIXBT,AIXBTUSDT,ok:43195 candles
AKITA,AKITAUSDT,ok:43195 candles
ALICE,ALICEUSDT,ok:43194 candles
AMI,AMIUSDT,ok:43194 candles
AMORE,AMOREUSDT,ok:43193 candles
ANI,ANIUSDT,ok:43192 candles
ANIME,ANIMEUSDT,ok:43192 candles
ANON,ANONUSDT,ok:43191 candles
APU,APUUSDT,ok:43190 candles
ARC,ARCUSDT,ok:43190 candles
ARG,ARGUSDT,ok:43189 candles
ARIA,ARIAUSDT,ok:43189 candles
ASTEROID,ASTEROIDUSDT,ok:43188 candles
ATH,ATHUSDT,ok:43188 candles
ATLAS,ATLASUSDT,ok:43187 candles
AURORA,AURORAUSDT,ok:43186 candles
AVA,AVAUSDT,ok:43186 candles
BABY,BABYUSDT,ok:43185 candles
BABYBONK,BABYBONKUSDT,ok:43184 candles
BABYDOGE,BABYDOGEUSDT,ok:43184 candles
BABYSHARK,BABYSHARKUSDT,ok:43183 candles
BADGER,BADGERUSDT,ok:43183 candles
BAN,BANUSDT,ok:43182 candles
BANANA,BANANAUSDT,ok:43181 candles
BANANAS31,BANANAS31USDT,ok:43181 candles
BANK,BANKUSDT,ok:43180 candles
BASED,BASEDUSDT,ok:43180 candles
BB,BBUSDT,ok:43179 candles
BCAT,BCATUSDT,ok:43178 candles
BDC,BDCUSDT,ok:43178 candles
BEL,BELUSDT,ok:43177 candles
BELLS,BELLSUSDT,ok:43177 candles
BELUGA,BELUGAUSDT,ok:43176 candles
BERT,BERTUSDT,ok:43175 candles
BIRB,BIRBUSDT,ok:43175 candles
BLAST,BLASTUSDT,ok:43174 candles
BLUB,BLUBUSDT,ok:43174 candles
BLUE,BLUEUSDT,ok:43173 candles
BMT,BMTUSDT,ok:43172 candles
BNC,BNCUSDT,ok:43172 candles
BOB,BOBUSDT,ok:43171 candles
BOBA,BOBAUSDT,ok:43170 candles
BOBO,BOBOUSDT,ok:43170 candles
BOME,BOMEUSDT,ok:43169 candles
BONE,BONEUSDT,ok:43168 candles
BONK,BONKUSDT,ok:43168 candles
BROCCOLI,BROCCOLIUSDT,ok:43167 candles
BSB,BSBUSDT,ok:43167 candles
BST,BSTUSDT,ok:43166 candles
BULL,BULLUSDT,ok:43166 candles
BULLA,BULLAUSDT,ok:43165 candles
BULLISH,BULLISHUSDT,ok:43164 candles
BULLS,BULLSUSDT,ok:43164 candles
BUTTCOIN,BUTTCOINUSDT,ok:43163 candles
C,CUSDT,ok:43163 candles
CA,CAUSDT,ok:43162 candles
CAP,CAPUSDT,ok:43161 candles
CAT,CATUSDT,ok:43161 candles
CATCOIN,CATCOINUSDT,ok:43160 candles
CAW,CAWUSDT,ok:43160 candles
CHEEMS,CHEEMSUSDT,ok:43159 candles
CHILLGUY,CHILLGUYUSDT,ok:43159 candles
CHIP,CHIPUSDT,ok:43158 candles
CITY,CITYUSDT,ok:43157 candles
CLANKER,CLANKERUSDT,ok:43157 candles
CLASH,CLASHUSDT,ok:43156 candles
CLOUD,CLOUDUSDT,ok:43155 candles
COOK,COOKUSDT,ok:43155 candles
COQ,COQUSDT,ok:43154 candles
CORN,CORNUSDT,ok:43153 candles
COW,COWUSDT,ok:43153 candles
CREPE,CREPEUSDT,ok:43152 candles
DADDY,DADDYUSDT,ok:43152 candles
DAM,DAMUSDT,ok:43151 candles
DEGEN,DEGENUSDT,ok:43150 candles
DESU,DESUUSDT,ok:0 candles
DINGO,DINGOUSDT,ok:43150 candles
DJI6930,DJI6930USDT,ok:43149 candles
DODO,DODOUSDT,ok:43149 candles
DOG,DOGUSDT,ok:43148 candles
DOGE,DOGEUSDT,ok:43148 candles
DOGEUS,DOGEUSUSDT,ok:0 candles
DOGINME,DOGINMEUSDT,ok:43147 candles
DOGS,DOGSUSDT,ok:43147 candles
DUPE,DUPEUSDT,ok:43146 candles
ECHO,ECHOUSDT,ok:43145 candles
ELON,ELONUSDT,ok:43145 candles
ESP,ESPUSDT,ok:43144 candles
EVA,EVAUSDT,ok:43144 candles
F,FUSDT,ok:43143 candles
FARM,FARMUSDT,ok:43143 candles
FARTBOY,FARTBOYUSDT,ok:43142 candles
FARTCOIN,FARTCOINUSDT,ok:43141 candles
FB,FBUSDT,ok:43141 candles
FEG,FEGUSDT,ok:43140 candles
FIGHT,FIGHTUSDT,ok:43140 candles
FIT,FITUSDT,ok:43139 candles
FLOCK,FLOCKUSDT,ok:43139 candles
FLOKI,FLOKIUSDT,ok:43138 candles
FLORK,FLORKUSDT,ok:43138 candles
FLOW,FLOWUSDT,ok:43137 candles
FOREST,FORESTUSDT,ok:43136 candles
FORM,FORMUSDT,ok:43136 candles
FREEDOM,FREEDOMUSDT,ok:43135 candles
FUN,FUNUSDT,ok:43135 candles
FWOG,FWOGUSDT,ok:43134 candles
GHST,GHSTUSDT,ok:43134 candles
GIGA,GIGAUSDT,ok:43133 candles
GIGGLE,GIGGLEUSDT,ok:43133 candles
GME,GMEUSDT,ok:43132 candles
GOAT,GOATUSDT,ok:43131 candles
GOATED,GOATEDUSDT,ok:43131 candles
GOBLIN,GOBLINUSDT,ok:43130 candles
GOCHU,GOCHUUSDT,ok:43130 candles
GRIFFAIN,GRIFFAINUSDT,ok:43129 candles
GROK,GROKUSDT,ok:43129 candles
GUA,GUAUSDT,ok:43128 candles
HANA,HANAUSDT,ok:43127 candles
HANTA,HANTAUSDT,error:Remote end closed connection without response
HAROLD,HAROLDUSDT,ok:43078 candles
HARRY,HARRYUSDT,ok:43078 candles
HIPPO,HIPPOUSDT,ok:43077 candles
HIVE,HIVEUSDT,ok:43077 candles
HOLO,HOLOUSDT,ok:43076 candles
HOOLI,HOOLIUSDT,ok:43075 candles
HOSKY,HOSKYUSDT,ok:43075 candles
HOUSE,HOUSEUSDT,ok:43074 candles
HUND,HUNDUSDT,ok:43074 candles
ID,IDUSDT,ok:43073 candles
IKA,IKAUSDT,ok:43073 candles
IN,INUSDT,ok:43072 candles
IQ,IQUSDT,ok:43071 candles
JAGER,JAGERUSDT,ok:43071 candles
JOE,JOEUSDT,ok:43070 candles
JOTCHUA,JOTCHUAUSDT,ok:0 candles
JYAI,JYAIUSDT,ok:43070 candles
KAT,KATUSDT,ok:43069 candles
KEKIUS,KEKIUSUSDT,ok:43069 candles
KEYCAT,KEYCATUSDT,ok:43068 candles
KIBSHI,KIBSHIUSDT,ok:43067 candles
KISHU,KISHUUSDT,ok:43067 candles
KOMA,KOMAUSDT,ok:43066 candles
LADYS,LADYSUSDT,ok:43065 candles
LIKE,LIKEUSDT,ok:43065 candles
LKY,LKYUSDT,ok:43064 candles
LOBO,LOBOUSDT,ok:43064 candles
LUCKY,LUCKYUSDT,ok:0 candles
LUNA,LUNAUSDT,ok:43063 candles
MAGA,MAGAUSDT,ok:43063 candles
MAJOR,MAJORUSDT,ok:43062 candles
MAN,MANUSDT,ok:43061 candles
MANEKI,MANEKIUSDT,ok:43061 candles
MANYU,MANYUUSDT,ok:43039 candles
MASK,MASKUSDT,ok:43038 candles
MBX,MBXUSDT,ok:43037 candles
ME,MEUSDT,ok:43037 candles
MEEP,MEEPUSDT,ok:43036 candles
MEGA,MEGAUSDT,ok:43036 candles
MELANIA,MELANIAUSDT,ok:43035 candles
MEME,MEMEUSDT,ok:43035 candles
MEMECOIN,MEMECOINUSDT,ok:43034 candles
MEMEFI,MEMEFIUSDT,ok:43033 candles
MEMES,MEMESUSDT,ok:43033 candles
MET,METUSDT,ok:43032 candles
METIS,METISUSDT,ok:43032 candles
MEW,MEWUSDT,ok:43031 candles
MGO,MGOUSDT,ok:43031 candles
MIGGLES,MIGGLESUSDT,ok:43030 candles
MILLI,MILLIUSDT,ok:43029 candles
MINDFAK,MINDFAKUSDT,ok:43029 candles
MIU,MIUUSDT,ok:43028 candles
MOCHI,MOCHIUSDT,ok:43028 candles
MOEW,MOEWUSDT,ok:43027 candles
MOG,MOGUSDT,ok:43027 candles
MOLT,MOLTUSDT,ok:43026 candles
MOMO,MOMOUSDT,ok:43025 candles
MOODENG,MOODENGUSDT,ok:43025 candles
MORI,MORIUSDT,ok:43024 candles
MPC,MPCUSDT,ok:43024 candles
MTP,MTPUSDT,ok:43023 candles
MUBARAK,MUBARAKUSDT,ok:43023 candles
MUMU,MUMUUSDT,ok:0 candles
NAI,NAIUSDT,ok:43022 candles
NAKA,NAKAUSDT,ok:43022 candles
NEET,NEETUSDT,ok:43021 candles
NOBODY,NOBODYUSDT,ok:43020 candles
NOM,NOMUSDT,ok:43020 candles
NOT,NOTUSDT,ok:43019 candles
NPC,NPCUSDT,ok:43019 candles
NST,NSTUSDT,ok:43018 candles
