base_asset,mexc_symbol,status
4,4USDT,ok:0 candles
67,67USDT,ok:0 candles
ACT,ACTUSDT,ok:605 candles
AEON,AEONUSDT,ok:0 candles
AEROBUD,AEROBUDUSDT,ok:0 candles
AGI,AGIUSDT,ok:1095 candles
AI,AIUSDT,ok:0 candles
AIDOGE,AIDOGEUSDT,ok:1095 candles
AIX,AIXUSDT,ok:0 candles
AIXBT,AIXBTUSDT,ok:0 candles
AKITA,AKITAUSDT,ok:0 candles
ALICE,ALICEUSDT,ok:1095 candles
AMI,AMIUSDT,ok:0 candles
AMORE,AMOREUSDT,ok:0 candles
ANIME,ANIMEUSDT,ok:0 candles
ANON,ANONUSDT,ok:0 candles
APU,APUUSDT,ok:806 candles
ARC,ARCUSDT,ok:1059 candles
ARG,ARGUSDT,ok:1095 candles
ARIA,ARIAUSDT,ok:0 candles
ASTEROID,ASTEROIDUSDT,ok:0 candles
ATH,ATHUSDT,ok:739 candles
ATLAS,ATLASUSDT,ok:1095 candles
AURORA,AURORAUSDT,ok:1095 candles
AVA,AVAUSDT,ok:1095 candles
BABY,BABYUSDT,ok:0 candles
BABYBONK,BABYBONKUSDT,ok:0 candles
BABYDOGE,BABYDOGEUSDT,ok:1095 candles
BABYSHARK,BABYSHARKUSDT,ok:0 candles
BADGER,BADGERUSDT,ok:1095 candles
BAN,BANUSDT,ok:602 candles
BANANA,BANANAUSDT,ok:1007 candles
BANANAS31,BANANAS31USDT,ok:0 candles
BANK,BANKUSDT,ok:0 candles
BASED,BASEDUSDT,ok:0 candles
BB,BBUSDT,ok:769 candles
BCAT,BCATUSDT,ok:0 candles
BDC,BDCUSDT,ok:677 candles
BEL,BELUSDT,ok:1095 candles
BELLS,BELLSUSDT,ok:600 candles
BELUGA,BELUGAUSDT,ok:0 candles
BERT,BERTUSDT,ok:0 candles
BIRB,BIRBUSDT,ok:0 candles
BLAST,BLASTUSDT,ok:725 candles
BLUB,BLUBUSDT,ok:641 candles
BLUE,BLUEUSDT,ok:0 candles
BMT,BMTUSDT,ok:0 candles
BNC,BNCUSDT,ok:1095 candles
BOB,BOBUSDT,ok:0 candles
BOBA,BOBAUSDT,ok:1095 candles
BOBO,BOBOUSDT,ok:0 candles
BOME,BOMEUSDT,ok:829 candles
BONE,BONEUSDT,ok:1095 candles
